download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-37m-30s;€;;45;2.5;FCO;Iberia;22:10;0;1;19:40;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;;45;2.5;FCO;Iberia;18:25;0;1;15:55;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;;45;2.5;FCO;Iberia;14:35;0;1;12:05;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;;48;2.5;CIA;Ryanair;9:00;0;1;6:30;sáb;MAD;25-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;;49;2.5;FCO;Iberia;11:15;0;1;8:45;mié;MAD;22-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;;49;2.5;FCO;Iberia;14:35;0;1;12:05;mié;MAD;22-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;;49;2.5;FCO;Iberia;11:15;0;1;8:45;dom;MAD;26-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;;49;2.5;FCO;Iberia;14:35;0;1;12:05;lun;MAD;27-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;;49;2.5;FCO;Iberia;22:10;0;1;19:40;lun;MAD;27-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;;49;2.5;FCO;Iberia;22:10;0;1;19:40;mar;MAD;28-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
23-09-2017-20h-37m-30s;€;;49;2.5;FCO;Iberia;14:35;0;1;12:05;mar;MAD;28-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
