download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-21h-01m-09s;€;;82;2.8;AMS;easyJet;18:20;0;1;15:35;dom;FCO;19-11;https://www.kayak.es/flights/ROM-AMS/2017-11-18-flexible
23-09-2017-21h-01m-09s;€;;83;2.7;AMS;easyJet;12:50;0;1;10:10;jue;FCO;16-11;https://www.kayak.es/flights/ROM-AMS/2017-11-18-flexible
23-09-2017-21h-01m-09s;€;;109;2.7;AMS;easyJet;12:50;0;1;10:10;vie;FCO;17-11;https://www.kayak.es/flights/ROM-AMS/2017-11-18-flexible
23-09-2017-21h-01m-09s;s;;;2.5;AMS;Alitalia;11:00;0;1;8:30;sáb;FCO;18-11;https://www.kayak.es/flights/ROM-AMS/2017-11-18-flexible
23-09-2017-21h-01m-09s;s;;;2.6;AMS;Alitalia;22:55;0;1;20:20;sáb;FCO;18-11;https://www.kayak.es/flights/ROM-AMS/2017-11-18-flexible
23-09-2017-21h-01m-09s;s;;;2.6;AMS;KLM;19:50;0;1;17:15;sáb;FCO;18-11;https://www.kayak.es/flights/ROM-AMS/2017-11-18-flexible
23-09-2017-21h-01m-09s;s;;;2.7;AMS;easyJet;12:50;0;1;10:10;sáb;FCO;18-11;https://www.kayak.es/flights/ROM-AMS/2017-11-18-flexible
23-09-2017-21h-01m-09s;s;;;2.7;AMS;KLM;8:50;0;1;6:10;sáb;FCO;18-11;https://www.kayak.es/flights/ROM-AMS/2017-11-18-flexible
23-09-2017-21h-01m-09s;s;;;2.8;AMS;Vueling;12:55;0;1;10:10;sáb;FCO;18-11;https://www.kayak.es/flights/ROM-AMS/2017-11-18-flexible
