download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-51m-02s;€;;90;2.6;MAD;Ryanair;20:00;0;1;17:25;vie;CIA;20-10;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible
23-09-2017-20h-51m-02s;€;;257;2.8;MAD;Ryanair;12:15;0;1;9:30;dom;CIA;15-10;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible
23-09-2017-20h-51m-02s;€;LGW;377;28.5;MAD;Vueling / easyJet;22:50;1;1;18:20;dom;FCO;15-10;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible
23-09-2017-20h-51m-02s;€;LGW;413;16.7;MAD;Vueling / easyJet;11:00;1;1;18:20;dom;FCO;15-10;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible
23-09-2017-20h-51m-02s;€;LGW;413;24.9;MAD;easyJet;22:50;1;1;21:55;dom;FCO;15-10;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible
23-09-2017-20h-51m-02s;€;ZRH;573;5.2;MAD;SWISS;14:50;1;1;9:35;dom;FCO;15-10;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible
