download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-48m-45s;€;;35;2.4;FCO;Vueling;9:25;0;1;7:00;mié;AMS;1-11;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
23-09-2017-20h-48m-45s;€;;42;2.3;FCO;easyJet;9:35;0;1;7:15;mié;AMS;1-11;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
23-09-2017-20h-48m-45s;€;;45;2.3;FCO;easyJet;9:35;0;1;7:15;lun;AMS;30-10;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
23-09-2017-20h-48m-45s;€;;50;2.3;FCO;easyJet;9:35;0;1;7:15;mar;AMS;31-10;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
23-09-2017-20h-48m-45s;€;;52;2.4;FCO;Iberia  - Vueling opera el vuel;9:25;0;1;7:00;dom;AMS;29-10;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
23-09-2017-20h-48m-45s;€;;56;2.3;FCO;easyJet;9:35;0;1;7:15;sáb;AMS;4-11;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
23-09-2017-20h-48m-45s;€;;60;2.4;FCO;Vueling;9:25;0;1;7:00;sáb;AMS;4-11;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
23-09-2017-20h-48m-45s;€;;61;2.4;FCO;Iberia  - Vueling opera el vuel;0:10;0;1;21:45;dom;AMS;29-10;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
23-09-2017-20h-48m-45s;€;;61;2.4;FCO;Iberia  - Vueling opera el vuel;0:10;0;1;21:45;lun;AMS;30-10;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
23-09-2017-20h-48m-45s;€;;62;2.3;FCO;easyJet;14:55;0;1;12:35;dom;AMS;29-10;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
23-09-2017-20h-48m-45s;€;;66;2.3;FCO;easyJet;9:35;0;1;7:15;jue;AMS;2-11;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
23-09-2017-20h-48m-45s;€;;67;2.4;FCO;Iberia  - Vueling opera el vuel;0:10;0;1;21:45;vie;AMS;3-11;https://www.kayak.es/flights/AMS-ROM/2017-11-01-flexible
