download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-36m-23s;€;;25;2.4;FCO;Vueling;9:25;0;1;7:00;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-04-flexible
23-09-2017-20h-36m-23s;€;ATH;48;21.6;FCO;Aegean Airlines;9:50;1;1;12:15;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-04-flexible
23-09-2017-20h-36m-23s;€;CPH;81;16.2;FCO;SAS;10:35;1;1;18:20;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-04-flexible
23-09-2017-20h-36m-23s;€;LGW;108;15.2;FCO;easyJet / Vueling;0:25;1;1;9:10;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-04-flexible
23-09-2017-20h-36m-23s;€;LGW;110;10.1;FCO;easyJet / Vueling;0:25;1;1;14:20;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-04-flexible
23-09-2017-20h-36m-23s;€;LGW;113;8;FCO;easyJet / Vueling;0:25;1;1;16:25;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-04-flexible
23-09-2017-20h-36m-23s;€;ZRH;244;4.2;FCO;SWISS;14:05;1;1;9:50;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-04-flexible
23-09-2017-20h-36m-23s;€;ZRH;317;9.3;FCO;SWISS  - Helvetic Airways opera el vuel;19:10;1;1;9:50;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-04-flexible
