link;download_date;price;currency;airlines;number_destinations;duration_0;stops_0;number_stops_0;date_0;depart_time_0;arrival_time_0;depart_airport_0;arrival_airport_0;day_week_0
https://www.kayak.es/flights/MAD-ROM/2017-10-11-flexible;23-09-2017-12h-06min-22s;40;€;Ryanair;1;2.5;;0;8-10;6:35;9:05;MAD;CIA;dom
https://www.kayak.es/flights/MAD-ROM/2017-10-11-flexible;23-09-2017-12h-06min-22s;40;€;Ryanair;1;2.5;;0;12-10;20:35;23:05;MAD;CIA;jue
https://www.kayak.es/flights/MAD-ROM/2017-10-11-flexible;23-09-2017-12h-06min-22s;40;€;Ryanair;1;2.5;;0;13-10;20:35;23:05;MAD;CIA;vie
https://www.kayak.es/flights/MAD-ROM/2017-10-11-flexible;23-09-2017-12h-06min-22s;40;€;Ryanair;1;2.5;;0;14-10;20:35;23:05;MAD;CIA;sáb
https://www.kayak.es/flights/MAD-ROM/2017-10-11-flexible;23-09-2017-12h-06min-22s;42;€;Ryanair;1;27;CRL;1;10-10;6:05;9:05;MAD;CIA;mar
https://www.kayak.es/flights/MAD-ROM/2017-10-11-flexible;23-09-2017-12h-06min-22s;45;€;Ryanair;1;13.2;TLS, STN;2;11-10;6:30;19:40;MAD;CIA;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-11-flexible;23-09-2017-12h-06min-22s;48;€;Ryanair;1;2.5;;0;13-10;13:30;16:00;MAD;CIA;vie
https://www.kayak.es/flights/MAD-ROM/2017-10-11-flexible;23-09-2017-12h-06min-22s;48;€;Ryanair;1;2.5;;0;14-10;6:35;9:05;MAD;CIA;sáb
https://www.kayak.es/flights/MAD-ROM/2017-10-11-flexible;23-09-2017-12h-06min-22s;48;€;Ryanair;1;2.5;;0;14-10;13:30;16:00;MAD;CIA;sáb
https://www.kayak.es/flights/MAD-ROM/2017-10-11-flexible;23-09-2017-12h-06min-22s;50;€;Wizz Air / Ryanair;1;9.7;SOF;1;9-10;21:55;7:35;MAD;CIA;lun
