download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-47m-38s;€;;22;2.5;CIA;Ryanair;9:00;0;1;6:30;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;;23;2.5;CIA;Ryanair;20:25;0;1;17:55;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;;41;2.5;CIA;Ryanair;16:10;0;1;13:40;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;;44;2.5;FCO;Iberia;22:10;0;1;19:40;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;BLQ, BRI;44;17.4;FCO;Ryanair;7:40;2;1;14:15;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;LIS;53;13.8;FCO;TAP AIR PORTUGAL;10:55;1;1;21:05;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;LIS;55;18.2;FCO;TAP AIR PORTUGAL;10:55;1;1;16:40;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;LIS;55;26.1;FCO;TAP AIR PORTUGAL;18:45;1;1;16:40;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;LIS;57;8.7;FCO;TAP AIR PORTUGAL;18:45;1;1;10:05;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;BVA;57;19;CIA;Ryanair;11:10;1;1;16:10;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;LIS;58;5.1;FCO;TAP AIR PORTUGAL;23:40;1;1;18:35;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;LIS;58;20.8;FCO;TAP AIR PORTUGAL;13:25;1;1;16:40;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;LIS;59;26.6;FCO;TAP AIR PORTUGAL;23:40;1;1;21:05;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;LIS;60;24.2;FCO;TAP AIR PORTUGAL;18:45;1;1;18:35;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;LIS;61;6.5;FCO;TAP AIR PORTUGAL;18:45;1;1;12:15;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;CDG;61;10.6;FCO;Air France;23:15;1;1;12:40;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;CDG;62;16.6;FCO;Air France;23:15;1;1;6:40;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23-09-2017-20h-47m-38s;€;SXF;63;15.4;CIA;Ryanair;8:30;1;1;17:05;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
