download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-19m-31s;€;LIS;72;6.8;MAD;TAP AIR PORTUGAL;23:50;1;1;17:05;mar;FCO;3-10;https://www.kayak.es/flights/ROM-MAD/2017-10-04-flexible
23-09-2017-20h-19m-31s;€;;75;2.8;MAD;Vueling;0:35;0;1;21:50;mié;FCO;4-10;https://www.kayak.es/flights/ROM-MAD/2017-10-04-flexible
23-09-2017-20h-19m-31s;€;BRU;85;6.5;MAD;Brussels Airlines;16:40;1;1;10:10;jue;FCO;5-10;https://www.kayak.es/flights/ROM-MAD/2017-10-04-flexible
23-09-2017-20h-19m-31s;€;BRU;85;6.5;MAD;Brussels Airlines;16:40;1;1;10:10;mié;FCO;4-10;https://www.kayak.es/flights/ROM-MAD/2017-10-04-flexible
23-09-2017-20h-19m-31s;€;BRU;85;10.2;MAD;Brussels Airlines;20:25;1;1;10:10;mié;FCO;4-10;https://www.kayak.es/flights/ROM-MAD/2017-10-04-flexible
23-09-2017-20h-19m-31s;€;BRU;85;13.2;MAD;Brussels Airlines;23:20;1;1;10:10;mié;FCO;4-10;https://www.kayak.es/flights/ROM-MAD/2017-10-04-flexible
23-09-2017-20h-19m-31s;€;;89;2.8;MAD;Ryanair;19:10;0;1;16:25;mar;CIA;3-10;https://www.kayak.es/flights/ROM-MAD/2017-10-04-flexible
23-09-2017-20h-19m-31s;€;BRU;95;10.2;MAD;Brussels Airlines;20:25;1;1;10:10;lun;FCO;2-10;https://www.kayak.es/flights/ROM-MAD/2017-10-04-flexible
23-09-2017-20h-19m-31s;€;BRU;95;19.3;MAD;Brussels Airlines;16:40;1;1;21:20;mié;FCO;4-10;https://www.kayak.es/flights/ROM-MAD/2017-10-04-flexible
23-09-2017-20h-19m-31s;€;BRU;105;23.1;MAD;Brussels Airlines;20:25;1;1;21:20;mar;FCO;3-10;https://www.kayak.es/flights/ROM-MAD/2017-10-04-flexible
