download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-26m-15s;€;;25;2.4;FCO;Vueling;9:25;0;1;7:00;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
23-09-2017-20h-26m-15s;€;;37;2.1;CIA;Ryanair;9:30;0;1;7:25;sáb;EIN;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
23-09-2017-20h-26m-15s;€;;42;2.3;FCO;easyJet;9:35;0;1;7:15;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
23-09-2017-20h-26m-15s;€;;42;2.3;FCO;easyJet;9:35;0;1;7:15;jue;AMS;30-11;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
23-09-2017-20h-26m-15s;€;;42;2.3;FCO;easyJet;9:35;0;1;7:15;mar;AMS;5-12;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
23-09-2017-20h-26m-15s;€;ATH;48;21.6;FCO;Aegean Airlines;9:50;1;1;12:15;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
23-09-2017-20h-26m-15s;€;ATH;48;28.4;FCO;Aegean Airlines;16:40;1;1;12:15;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
23-09-2017-20h-26m-15s;€;;50;2.3;FCO;easyJet;9:35;0;1;7:15;lun;AMS;4-12;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
23-09-2017-20h-26m-15s;€;;52;2.4;FCO;Iberia  - Vueling opera el vuel;9:25;0;1;7:00;dom;AMS;3-12;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
23-09-2017-20h-26m-15s;€;;52;2.4;FCO;Iberia  - Vueling opera el vuel;0:10;0;1;21:45;vie;AMS;1-12;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
23-09-2017-20h-26m-15s;€;;52;2.4;FCO;Iberia  - Vueling opera el vuel;9:25;0;1;7:00;mié;AMS;29-11;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
23-09-2017-20h-26m-15s;€;;52;2.4;FCO;Iberia  - Vueling opera el vuel;0:10;0;1;21:45;jue;AMS;30-11;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
