download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-45m-23s;€;;59;2.2;FCO;easyJet;9:35;0;1;7:20;jue;AMS;26-10;https://www.kayak.es/flights/AMS-ROM/2017-10-25-flexible
23-09-2017-20h-45m-23s;€;;101;2.2;FCO;easyJet;9:35;0;1;7:20;lun;AMS;23-10;https://www.kayak.es/flights/AMS-ROM/2017-10-25-flexible
23-09-2017-20h-45m-23s;€;LGW;107;17.2;FCO;easyJet / Vueling;0:20;1;1;7:05;mié;AMS;25-10;https://www.kayak.es/flights/AMS-ROM/2017-10-25-flexible
23-09-2017-20h-45m-23s;€;LGW;117;14.1;FCO;easyJet;21:10;1;1;7:05;mié;AMS;25-10;https://www.kayak.es/flights/AMS-ROM/2017-10-25-flexible
23-09-2017-20h-45m-23s;€;LGW;121;11.6;FCO;easyJet / Vueling;18:40;1;1;7:05;mié;AMS;25-10;https://www.kayak.es/flights/AMS-ROM/2017-10-25-flexible
23-09-2017-20h-45m-23s;€;;176;2.3;FCO;easyJet;14:50;0;1;12:30;dom;AMS;22-10;https://www.kayak.es/flights/AMS-ROM/2017-10-25-flexible
23-09-2017-20h-45m-23s;s;;;2.2;FCO;KLM;11:50;0;1;9:35;mié;AMS;25-10;https://www.kayak.es/flights/AMS-ROM/2017-10-25-flexible
23-09-2017-20h-45m-23s;s;;;2.2;FCO;KLM;9:30;0;1;7:15;mié;AMS;25-10;https://www.kayak.es/flights/AMS-ROM/2017-10-25-flexible
23-09-2017-20h-45m-23s;s;;;2.3;FCO;Vueling;9:20;0;1;7:00;mié;AMS;25-10;https://www.kayak.es/flights/AMS-ROM/2017-10-25-flexible
