download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-55m-31s;€;;50;2.4;FCO;Vueling;0:10;0;1;21:45;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;;59;2.3;FCO;easyJet;9:35;0;1;7:15;jue;AMS;28-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;;111;2.2;FCO;Alitalia;9:10;0;1;7:00;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;;111;2.3;FCO;easyJet;9:35;0;1;7:15;vie;AMS;22-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;;135;2.3;FCO;easyJet;9:35;0;1;7:15;sáb;AMS;23-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;MAD;140;9.9;FCO;Iberia  - Iberia Express opera el vuel;22:10;1;1;12:15;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;CDG;148;9.4;FCO;Air France;23:15;1;1;13:50;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;BCN;175;15.6;FCO;Vueling;10:20;1;1;18:45;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;ARN;200;6;FCO;SAS  - CityJet opera el vuel;17:40;1;1;11:40;sáb;AMS;23-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;MAD;215;14.8;FCO;Air Europa;9:30;1;1;18:40;dom;AMS;24-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;OSL;235;9.9;FCO;Norwegian;21:05;1;1;11:10;vie;AMS;22-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;ZRH;244;9.3;FCO;SWISS;19:10;1;1;9:50;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;ZRH;299;7.1;FCO;SWISS;14:05;1;1;7:00;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;ZRH;317;4.2;FCO;SWISS;14:05;1;1;9:50;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;MUC, ATH;431;9.7;FCO;Aegean Airlines  - Lufthansa opera el vuel;16:40;2;1;7:00;vie;AMS;22-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;FRA, ATH;563;9;FCO;Aegean Airlines  - Lufthansa opera el vuel;16:40;2;1;7:40;sáb;AMS;23-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;DXB;1399;14.7;FCO;Emirates;12:40;1;1;22:00;dom;AMS;24-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;€;DXB;1400;28.2;FCO;Emirates;18:45;1;1;14:30;dom;AMS;24-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;s;;;2.2;FCO;Alitalia;14:00;0;1;11:50;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;s;;;2.2;FCO;KLM;19:10;0;1;17:00;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;s;;;2.3;FCO;KLM;9:10;0;1;6:50;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
23-09-2017-20h-55m-31s;s;;;2.4;FCO;Vueling;9:25;0;1;7:00;lun;AMS;25-12;https://www.kayak.es/flights/AMS-ROM/2017-12-25-flexible
