;download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
20;23-09-2017-21h-00m-01s;€;;22.0;2.5;CIA;Ryanair;9:00;0;1;6:30;mar;MAD;19-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
21;23-09-2017-21h-00m-01s;€;;22.0;2.5;CIA;Ryanair;20:25;0;1;17:55;sáb;MAD;16-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
22;23-09-2017-20h-47m-38s;€;;22.0;2.5;CIA;Ryanair;9:00;0;1;6:30;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
23;23-09-2017-20h-33m-02s;€;;22.0;2.6;MAD;Ryanair;12:00;0;1;9:25;sáb;CIA;2-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
24;23-09-2017-20h-33m-02s;€;;22.0;2.6;MAD;Ryanair;23:25;0;1;20:50;vie;CIA;1-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
25;23-09-2017-21h-00m-01s;€;;22.0;2.5;CIA;Ryanair;20:25;0;1;17:55;mar;MAD;19-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
26;23-09-2017-20h-47m-38s;€;;23.0;2.5;CIA;Ryanair;20:25;0;1;17:55;mié;MAD;13-12;https://www.kayak.es/flights/MAD-ROM/2017-12-11-flexible
27;23-09-2017-20h-39m-45s;€;;24.0;2.6;MAD;Ryanair;23:25;0;1;20:50;mié;CIA;15-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
28;23-09-2017-20h-25m-08s;€;;24.0;2.5;CIA;Ryanair;9:00;0;1;6:30;lun;MAD;13-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
29;23-09-2017-20h-33m-02s;€;;24.0;2.6;MAD;Ryanair;12:00;0;1;9:25;lun;CIA;4-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
30;23-09-2017-20h-54m-24s;€;;24.0;2.6;MAD;Ryanair;23:25;0;1;20:50;jue;CIA;30-11;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
31;23-09-2017-20h-33m-02s;€;;24.0;2.6;MAD;Ryanair;12:00;0;1;9:25;vie;CIA;1-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
32;23-09-2017-20h-25m-08s;€;;24.0;2.5;CIA;Ryanair;20:25;0;1;17:55;mar;MAD;14-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
33;23-09-2017-20h-33m-02s;€;;24.0;2.6;MAD;Ryanair;19:10;0;1;16:35;vie;CIA;1-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
34;23-09-2017-20h-42m-00s;€;;24.0;2.5;CIA;Ryanair;16:00;0;1;13:30;jue;MAD;26-10;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible
35;23-09-2017-20h-42m-00s;€;;24.0;2.5;CIA;Ryanair;16:00;0;1;13:30;mar;MAD;24-10;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible
36;23-09-2017-20h-33m-02s;€;;24.0;2.6;MAD;Ryanair;23:35;0;1;21:00;lun;CIA;4-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
37;23-09-2017-20h-33m-02s;€;;24.0;2.6;MAD;Ryanair;19:10;0;1;16:35;lun;CIA;4-12;https://www.kayak.es/flights/ROM-MAD/2017-12-04-flexible
38;23-09-2017-20h-39m-45s;€;;24.0;2.6;MAD;Ryanair;12:00;0;1;9:25;jue;CIA;16-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
39;23-09-2017-20h-54m-24s;€;;24.0;2.6;MAD;Ryanair;12:00;0;1;9:25;lun;CIA;4-12;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
40;23-09-2017-20h-54m-24s;€;;24.0;2.6;MAD;Ryanair;12:00;0;1;9:25;jue;CIA;30-11;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
41;23-09-2017-20h-37m-30s;€;;24.0;2.5;CIA;Ryanair;9:00;0;1;6:30;mié;MAD;22-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
42;23-09-2017-20h-37m-30s;€;;24.0;2.5;CIA;Ryanair;16:10;0;1;13:40;mié;MAD;22-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
43;23-09-2017-20h-37m-30s;€;;24.0;2.5;CIA;Ryanair;16:10;0;1;13:40;lun;MAD;27-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
44;23-09-2017-20h-37m-30s;€;;24.0;2.5;CIA;Ryanair;20:25;0;1;17:55;mar;MAD;28-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
45;23-09-2017-20h-37m-30s;€;;24.0;2.5;CIA;Ryanair;16:10;0;1;13:40;mar;MAD;28-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
46;23-09-2017-20h-37m-30s;€;;24.0;2.5;CIA;Ryanair;9:00;0;1;6:30;mar;MAD;28-11;https://www.kayak.es/flights/MAD-ROM/2017-11-25-flexible
47;23-09-2017-20h-54m-24s;€;;24.0;2.6;MAD;Ryanair;19:10;0;1;16:35;mié;CIA;29-11;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
48;23-09-2017-20h-54m-24s;€;;24.0;2.6;MAD;Ryanair;23:25;0;1;20:50;mié;CIA;29-11;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
49;23-09-2017-20h-54m-24s;€;;24.0;2.6;MAD;Ryanair;12:00;0;1;9:25;vie;CIA;1-12;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
50;23-09-2017-20h-46m-30s;€;;24.0;2.6;MAD;Ryanair;23:25;0;1;20:50;mar;CIA;28-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
51;23-09-2017-20h-39m-45s;€;;24.0;2.6;MAD;Ryanair;19:10;0;1;16:35;mié;CIA;15-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
52;23-09-2017-20h-46m-30s;€;;24.0;2.6;MAD;Ryanair;23:25;0;1;20:50;mié;CIA;22-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
53;23-09-2017-21h-00m-01s;€;;24.0;2.5;CIA;Ryanair;16:10;0;1;13:40;dom;MAD;17-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
54;23-09-2017-21h-00m-01s;€;;24.0;2.5;CIA;Ryanair;16:10;0;1;13:40;sáb;MAD;16-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
55;23-09-2017-20h-54m-24s;€;;24.0;2.6;MAD;Ryanair;19:10;0;1;16:35;vie;CIA;1-12;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
56;23-09-2017-20h-54m-24s;€;;24.0;2.6;MAD;Ryanair;19:10;0;1;16:35;lun;CIA;4-12;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
57;23-09-2017-20h-49m-54s;€;;24.0;2.5;CIA;Ryanair;9:00;0;1;6:30;mié;MAD;29-11;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
58;23-09-2017-20h-49m-54s;€;;24.0;2.5;CIA;Ryanair;20:25;0;1;17:55;mié;MAD;29-11;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
59;23-09-2017-20h-49m-54s;€;;24.0;2.5;CIA;Ryanair;16:10;0;1;13:40;mié;MAD;29-11;https://www.kayak.es/flights/MAD-ROM/2017-12-02-flexible
60;23-09-2017-20h-25m-08s;€;;24.0;2.5;CIA;Ryanair;16:10;0;1;13:40;mar;MAD;14-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
61;23-09-2017-20h-54m-24s;€;;24.0;2.6;MAD;Ryanair;23:35;0;1;21:00;lun;CIA;4-12;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
62;23-09-2017-20h-54m-24s;€;;24.0;2.6;MAD;Ryanair;19:10;0;1;16:35;jue;CIA;30-11;https://www.kayak.es/flights/ROM-MAD/2017-12-02-flexible
63;23-09-2017-21h-00m-01s;€;;24.0;2.5;CIA;Ryanair;9:00;0;1;6:30;sáb;MAD;16-12;https://www.kayak.es/flights/MAD-ROM/2017-12-18-flexible
64;23-09-2017-20h-25m-08s;€;;24.0;2.5;CIA;Ryanair;9:00;0;1;6:30;mar;MAD;14-11;https://www.kayak.es/flights/MAD-ROM/2017-11-11-flexible
65;23-09-2017-20h-26m-15s;€;;25.0;2.4;FCO;Vueling;9:25;0;1;7:00;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-02-flexible
66;23-09-2017-20h-36m-23s;€;;25.0;2.4;FCO;Vueling;9:25;0;1;7:00;sáb;AMS;2-12;https://www.kayak.es/flights/AMS-ROM/2017-12-04-flexible
67;23-09-2017-20h-46m-30s;€;;27.0;2.6;MAD;Ryanair;23:25;0;1;20:50;sáb;CIA;25-11;https://www.kayak.es/flights/ROM-MAD/2017-11-25-flexible
