download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-39m-45s;€;;24;2.6;MAD;Ryanair;23:25;0;1;20:50;mié;CIA;15-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;24;2.6;MAD;Ryanair;12:00;0;1;9:25;jue;CIA;16-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;24;2.6;MAD;Ryanair;19:10;0;1;16:35;mié;CIA;15-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;28;2.6;MAD;Ryanair;12:00;0;1;9:25;sáb;CIA;18-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;28;2.6;MAD;Ryanair;12:00;0;1;9:25;mié;CIA;15-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;28;2.6;MAD;Ryanair;23:25;0;1;20:50;jue;CIA;16-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;40;2.6;MAD;Ryanair;19:10;0;1;16:35;sáb;CIA;18-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;40;2.6;MAD;Ryanair;23:35;0;1;21:00;lun;CIA;20-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;40;2.6;MAD;Ryanair;19:10;0;1;16:35;lun;CIA;20-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;40;2.6;MAD;Ryanair;12:00;0;1;9:25;lun;CIA;20-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;40;2.6;MAD;Ryanair;12:00;0;1;9:25;vie;CIA;17-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;40;2.6;MAD;Ryanair;23:25;0;1;20:50;mar;CIA;21-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;48;2.6;MAD;Ryanair;23:25;0;1;20:50;sáb;CIA;18-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;48;2.6;MAD;Ryanair;19:10;0;1;16:35;vie;CIA;17-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;48;2.6;MAD;Ryanair;19:10;0;1;16:35;mar;CIA;21-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;48;2.6;MAD;Ryanair;19:10;0;1;16:35;jue;CIA;16-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;;48;2.6;MAD;Ryanair;23:25;0;1;20:50;vie;CIA;17-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;STN;57;16.8;MAD;Ryanair;10:15;1;1;17:25;sáb;CIA;18-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;OTP;58;15.1;MAD;Wizz Air / Ryanair;22:50;1;1;7:45;sáb;CIA;18-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;OTP;61;16.3;MAD;Ryanair;22:50;1;1;6:30;sáb;CIA;18-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;CRL;61;17.5;MAD;Ryanair;11:50;1;1;18:20;sáb;CIA;18-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;STN;64;8.2;MAD;Ryanair;18:35;1;1;10:20;sáb;CIA;18-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
23-09-2017-20h-39m-45s;€;STN;64;9.9;MAD;Ryanair;23:35;1;1;13:40;sáb;CIA;18-11;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible
