download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-38m-38s;€;;31;2.6;MAD;Ryanair;23:25;0;1;20:50;jue;CIA;9-11;https://www.kayak.es/flights/ROM-MAD/2017-11-11-flexible
23-09-2017-20h-38m-38s;€;;37;2.6;MAD;Ryanair;19:10;0;1;16:35;jue;CIA;9-11;https://www.kayak.es/flights/ROM-MAD/2017-11-11-flexible
23-09-2017-20h-38m-38s;€;;51;2.6;MAD;Ryanair;12:00;0;1;9:25;jue;CIA;9-11;https://www.kayak.es/flights/ROM-MAD/2017-11-11-flexible
23-09-2017-20h-38m-38s;€;LGW;108;20.2;MAD;Vueling / easyJet;14:45;1;1;18:35;vie;FCO;10-11;https://www.kayak.es/flights/ROM-MAD/2017-11-11-flexible
23-09-2017-20h-38m-38s;€;LGW;114;29;MAD;Vueling / Norwegian;23:35;1;1;18:35;vie;FCO;10-11;https://www.kayak.es/flights/ROM-MAD/2017-11-11-flexible
23-09-2017-20h-38m-38s;€;LGW;118;27.1;MAD;Vueling / easyJet;21:40;1;1;18:35;vie;FCO;10-11;https://www.kayak.es/flights/ROM-MAD/2017-11-11-flexible
23-09-2017-20h-38m-38s;€;CGN, FRA;123;10.8;MAD;Ryanair / FlixBus;19:40;2;1;8:55;vie;CIA;10-11;https://www.kayak.es/flights/ROM-MAD/2017-11-11-flexible
23-09-2017-20h-38m-38s;€;ZRH;228;5;MAD;SWISS;14:40;1;1;9:40;vie;FCO;10-11;https://www.kayak.es/flights/ROM-MAD/2017-11-11-flexible
