download_date;currency;stops_0;price;duration_0;arrival_airport_0;airlines;arrival_time_0;number_stops_0;number_destinations;depart_time_0;day_week_0;depart_airport_0;date_0;link
23-09-2017-20h-24m-01s;€;LHR;231;7.7;MAD;British Airways  - Iberia opera el vuel;21:55;1;1;14:15;dom;FCO;17-12;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible
23-09-2017-20h-24m-01s;€;LGW;237;6.2;MAD;British Airways  - Vueling, Iberia Express For Iberia opera el vuel;14:15;1;1;8:05;dom;FCO;17-12;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible
23-09-2017-20h-24m-01s;€;LHR;262;8.5;MAD;British Airways  - Iberia opera el vuel;22:45;1;1;14:15;dom;FCO;17-12;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible
23-09-2017-20h-24m-01s;s;;;2.5;MAD;Ethiopian Air;8:00;0;1;5:30;lun;FCO;18-12;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible
23-09-2017-20h-24m-01s;s;;;2.5;MAD;Iberia;17:50;0;1;15:20;lun;FCO;18-12;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible
23-09-2017-20h-24m-01s;s;;;2.5;MAD;Iberia;21:40;0;1;19:10;lun;FCO;18-12;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible
23-09-2017-20h-24m-01s;s;;;2.6;MAD;Iberia;10:20;0;1;7:45;lun;FCO;18-12;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible
23-09-2017-20h-24m-01s;s;;;2.6;MAD;Iberia;14:35;0;1;12:00;lun;FCO;18-12;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible
23-09-2017-20h-24m-01s;s;;;2.7;MAD;Air Europa;13:10;0;1;10:30;lun;FCO;18-12;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible
23-09-2017-20h-24m-01s;s;;;2.7;MAD;Air Europa;21:05;0;1;18:25;lun;FCO;18-12;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible
