stops_0;depart_airport_1;download_date;day_week_0;duration_0;number_destinations;link;airlines;depart_time_0;arrival_time_0;depart_time_1;depart_airport_0;stops_1;arrival_time_1;arrival_airport_0;date_1;number_stops_0;day_week_1;number_stops_1;arrival_airport_1;date_0;duration_1;price;currency
;MAD;weekend;vie;2.6;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Ryanair;20:50;23:25;18:05;CIA;;20:35;MAD;13-11;0;lun;0;CIA;10-11;2.5;57;€
;MAD;weekend;vie;2.6;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Ryanair;20:50;23:25;6:30;CIA;;9:00;MAD;13-11;0;lun;0;CIA;10-11;2.5;68;€
NUE;MAD;weekend;vie;5.8;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Ryanair;12:50;18:35;18:05;CIA;;20:35;MAD;13-11;1;lun;0;CIA;10-11;2.5;81;€
SOF;MAD;weekend;vie;11.8;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Ryanair;8:00;19:45;18:05;CIA;;20:35;MAD;13-11;1;lun;0;CIA;10-11;2.5;81;€
;MAD;weekend;vie;2.6;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Alitalia;21:15;23:50;6:10;FCO;;8:35;MAD;13-11;0;lun;0;FCO;10-11;2.4;82;€
;MAD;weekend;vie;2.6;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Vueling / Ryanair;19:45;22:20;18:05;FCO;;20:35;MAD;13-11;0;lun;0;CIA;10-11;2.5;91;€
LIS;MAD;weekend;vie;5.3;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;TAP AIR PORTUGAL / Ryanair;6:10;11:30;18:05;FCO;;20:35;MAD;13-11;1;lun;0;CIA;10-11;2.5;92;€
OTP;MAD;weekend;vie;9.4;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Blue Air / Ryanair;8:55;18:20;18:05;FCO;;20:35;MAD;13-11;1;lun;0;CIA;10-11;2.5;96;€
;MAD;weekend;vie;2.7;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Alitalia / Ryanair;21:15;23:55;18:05;FCO;;20:35;MAD;13-11;0;lun;0;CIA;10-11;2.5;97;€
STN;MAD;weekend;vie;9.5;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Ryanair;14:05;23:35;18:05;CIA;;20:35;MAD;13-11;1;lun;0;CIA;10-11;2.5;98;€
STN;MAD;weekend;vie;12.4;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Ryanair;11:10;23:35;18:05;CIA;;20:35;MAD;13-11;1;lun;0;CIA;10-11;2.5;98;€
STN;MAD;weekend;vie;13.2;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Ryanair;10:20;23:35;18:05;CIA;;20:35;MAD;13-11;1;lun;0;CIA;10-11;2.5;98;€
NUE;MAD;weekend;vie;5.8;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Ryanair;12:50;18:35;6:30;CIA;;9:00;MAD;13-11;1;lun;0;CIA;10-11;2.5;103;€
;MAD;weekend;vie;2.6;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-13;Ryanair;20:50;23:25;13:05;CIA;STN;19:40;MAD;13-11;0;lun;1;CIA;10-11;6.6;103;€
