;arrival_airport_1;date_0;duration_0;depart_airport_0;price;date_1;duration_1;depart_time_1;day_week_0;download_date;number_destinations;link;depart_airport_1;currency;stops_0;number_stops_0;stops_1;number_stops_1;airlines;arrival_time_0;depart_time_0;arrival_airport_0;arrival_time_1;day_week_1
10;CIA;17-11;2.6;CIA;74.0;19-11;2.5;13:40;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Ryanair;12:00;9:25;MAD;16:10;dom
11;CIA;17-11;2.6;FCO;75.0;19-11;2.5;13:40;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Vueling / Ryanair;22:20;19:45;MAD;16:10;dom
12;CIA;24-11;2.6;CIA;80.0;26-11;2.5;6:30;vie;11-10-2017 15:17:48;2;https://www.kayak.es/flights/ROM-MAD/2017-11-24/2017-11-26;MAD;€;;0;;0;Ryanair;19:10;16:35;MAD;9:00;dom
13;FCO;24-11;2.6;FCO;83.0;26-11;2.4;16:35;vie;11-10-2017 15:17:48;2;https://www.kayak.es/flights/ROM-MAD/2017-11-24/2017-11-26;MAD;€;;0;;0;Vueling;22:20;19:45;MAD;19:00;dom
14;CIA;10-11;2.6;CIA;85.0;12-11;2.5;6:30;vie;11-10-2017 15:16:34;2;https://www.kayak.es/flights/ROM-MAD/2017-11-10/2017-11-12;MAD;€;;0;;0;Ryanair;12:00;9:25;MAD;9:00;dom
15;CIA;26-10;13.0;FCO;88.0;30-10;2.5;18:05;jue;11-10-2017 15:24:09;2;https://www.kayak.es/flights/ROM-MAD/2017-10-26/2017-10-30;MAD;€;IBZ;1;;0;Ryanair;23:30;10:30;MAD;20:35;lun
16;CIA;17-11;2.6;CIA;88.0;19-11;2.5;17:55;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;;0;Ryanair;23:25;20:50;MAD;20:25;dom
17;CIA;24-11;2.6;FCO;89.0;26-11;2.5;13:40;vie;11-10-2017 15:17:48;2;https://www.kayak.es/flights/ROM-MAD/2017-11-24/2017-11-26;MAD;€;;0;;0;Vueling / Ryanair;22:20;19:45;MAD;16:10;dom
18;FCO;17-11;2.6;FCO;91.0;19-11;10.7;21:20;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;SOF;1;Vueling / Wizz Air;22:20;19:45;MAD;8:00;dom
19;FCO;17-11;2.6;CIA;91.0;19-11;10.7;21:20;vie;11-10-2017 15:13:55;2;https://www.kayak.es/flights/ROM-MAD/2017-11-17/2017-11-19;MAD;€;;0;SOF;1;Ryanair / Wizz Air;23:25;20:50;MAD;8:00;dom
