stops_0;depart_airport_1;download_date;day_week_0;duration_0;number_destinations;link;airlines;depart_time_0;arrival_time_0;depart_time_1;depart_airport_0;stops_1;arrival_time_1;arrival_airport_0;date_1;number_stops_0;day_week_1;number_stops_1;arrival_airport_1;date_0;duration_1;price;currency
;MAD;weekend;vie;2.6;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;17:25;20:00;18:05;CIA;;20:35;MAD;30-10;0;lun;0;CIA;27-10;2.5;76;€
IBZ;MAD;weekend;vie;5.1;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;11:00;16:05;18:05;FCO;;20:35;MAD;30-10;1;lun;0;CIA;27-10;2.5;76;€
IBZ;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;11:00;23:30;18:05;FCO;;20:35;MAD;30-10;1;lun;0;CIA;27-10;2.5;76;€
;MAD;weekend;vie;2.6;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;17:25;20:00;6:30;CIA;;9:00;MAD;30-10;0;lun;0;CIA;27-10;2.5;82;€
IBZ;MAD;weekend;vie;5.1;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;11:00;16:05;6:30;FCO;;9:00;MAD;30-10;1;lun;0;CIA;27-10;2.5;83;€
IBZ;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;11:00;23:30;6:30;FCO;;9:00;MAD;30-10;1;lun;0;CIA;27-10;2.5;83;€
;MAD;weekend;vie;2.6;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;17:25;20:00;13:40;CIA;;16:10;MAD;30-10;0;lun;0;CIA;27-10;2.5;88;€
;MAD;weekend;vie;2.8;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;9:30;12:15;18:05;CIA;;20:35;MAD;30-10;0;lun;0;CIA;27-10;2.5;93;€
;MAD;weekend;vie;2.8;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;9:30;12:15;6:30;CIA;;9:00;MAD;30-10;0;lun;0;CIA;27-10;2.5;99;€
IBZ;MAD;weekend;vie;5.1;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;11:00;16:05;13:40;FCO;;16:10;MAD;30-10;1;lun;0;CIA;27-10;2.5;100;€
IBZ;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;11:00;23:30;13:40;FCO;;16:10;MAD;30-10;1;lun;0;CIA;27-10;2.5;100;€
IBZ;MAD;weekend;vie;5.1;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair / Vueling;11:00;16:05;16:35;FCO;;19:00;MAD;30-10;1;lun;0;FCO;27-10;2.4;102;€
IBZ;MAD;weekend;vie;12.5;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair / Vueling;11:00;23:30;16:35;FCO;;19:00;MAD;30-10;1;lun;0;FCO;27-10;2.4;102;€
SOF;MAD;weekend;vie;11.2;2;https://www.kayak.es/flights/ROM-MAD/2017-10-27/2017-10-30;Ryanair;8:00;19:10;18:05;CIA;;20:35;MAD;30-10;1;lun;0;CIA;27-10;2.5;103;€
