number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;mié;BKK;2;18-06;23-09-2017-14h-56m-27s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-07-03-flexible;10:55;lun;28.2;17.8;€;687;10:50;9:40;MAD;LHR;MAD;LHR;British Airways;4-07;1;BKK;11:40
1;mié;BKK;2;18-06;23-09-2017-14h-56m-27s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-07-03-flexible;10:55;lun;16.1;17.8;€;706;22:45;9:40;MAD;LHR;MAD;LHR;British Airways;4-07;1;BKK;11:40
1;mié;BKK;2;18-06;23-09-2017-14h-56m-27s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-07-03-flexible;12:00;lun;17.5;15.5;€;750;22:30;8:30;MAD;SVO;MAD;SVO;Aeroflot;4-07;1;BKK;10:00
1;mié;BKK;2;18-06;23-09-2017-14h-56m-27s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-07-03-flexible;10:55;lun;16.1;17.8;€;803;22:45;9:40;MAD;LHR;MAD;LHR;British Airways / Iberia;4-07;1;BKK;11:40
1;mié;BKK;2;18-06;23-09-2017-14h-56m-27s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-07-03-flexible;12:00;lun;17.8;15.5;€;824;0:10;8:30;MAD;SVO;MAD;KBP;Ukraine Intl Air / Aeroflot;4-07;1;BKK;11:25
1;mié;BKK;2;18-06;23-09-2017-14h-56m-27s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-07-03-flexible;9:55;lun;25.2;18.7;€;827;9:15;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global opera el vuel;4-07;1;BKK;13:05
1;mié;BKK;2;18-06;23-09-2017-14h-56m-27s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-07-03-flexible;9:55;lun;18.8;18.7;€;928;14:50;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;4-07;1;BKK;1:05
1;mié;BKK;2;18-06;23-09-2017-14h-56m-27s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-07-03-flexible;9:55;lun;25.2;14.6;€;1206;9:15;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global, Thai Airways Intl opera el vuel;4-07;1;BKK;13:05
