price;number_destinations;download_date;day_week_0;airlines;duration_0;number_stops_0;date_0;arrival_time_0;currency;stops_0;depart_time_0;depart_airport_0;link;arrival_airport_0
53;1;23-09-2017-14h-05m-11s;jue;Ryanair;2.5;0;4-01;9:00;€;;6:30;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;CIA
63;1;23-09-2017-14h-05m-11s;jue;Ryanair;2.5;0;4-01;20:25;€;;17:55;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;CIA
68;1;23-09-2017-14h-05m-11s;lun;Brussels Airlines;16.2;1;1-01;22:35;€;BRU;6:25;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
68;1;23-09-2017-14h-05m-11s;jue;Brussels Airlines;16.2;1;4-01;22:35;€;BRU;6:25;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
68;1;23-09-2017-14h-05m-11s;mié;Brussels Airlines;16.2;1;3-01;22:35;€;BRU;6:25;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
73;1;23-09-2017-14h-05m-11s;dom;Air Europa;2.5;0;31-12;18:40;€;;16:10;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
73;1;23-09-2017-14h-05m-11s;dom;Air Europa;2.5;0;31-12;9:30;€;;7:00;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
73;1;23-09-2017-14h-05m-11s;dom;Air Europa;2.5;0;31-12;10:10;€;;7:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
74;1;23-09-2017-14h-05m-11s;lun;Ryanair;2.5;0;1-01;16:10;€;;13:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;CIA
75;1;23-09-2017-14h-05m-11s;jue;Ryanair;2.5;0;4-01;16:10;€;;13:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;CIA
78;1;23-09-2017-14h-05m-11s;jue;Brussels Airlines;9.9;1;4-01;22:35;€;BRU;12:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
78;1;23-09-2017-14h-05m-11s;jue;Brussels Airlines;16.2;1;4-01;9:55;€;BRU;17:45;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
78;1;23-09-2017-14h-05m-11s;lun;Brussels Airlines;27.5;1;1-01;9:55;€;BRU;6:25;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
78;1;23-09-2017-14h-05m-11s;mar;Brussels Airlines;27.5;1;2-01;9:55;€;BRU;6:25;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
78;1;23-09-2017-14h-05m-11s;jue;Brussels Airlines;27.5;1;4-01;9:55;€;BRU;6:25;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
78;1;23-09-2017-14h-05m-11s;mié;Brussels Airlines;27.5;1;3-01;9:55;€;BRU;6:25;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
88;1;23-09-2017-14h-05m-11s;vie;Brussels Airlines;16.2;1;29-12;9:55;€;BRU;17:45;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
88;1;23-09-2017-14h-05m-11s;dom;Brussels Airlines;16.2;1;31-12;9:55;€;BRU;17:45;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
88;1;23-09-2017-14h-05m-11s;mié;Brussels Airlines;16.2;1;3-01;9:55;€;BRU;17:45;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
88;1;23-09-2017-14h-05m-11s;jue;Brussels Airlines;21.2;1;4-01;9:55;€;BRU;12:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
90;1;23-09-2017-14h-05m-11s;lun;Brussels Airlines;9.9;1;1-01;22:35;€;BRU;12:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
90;1;23-09-2017-14h-05m-11s;mié;Brussels Airlines;9.9;1;3-01;22:35;€;BRU;12:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
98;1;23-09-2017-14h-05m-11s;mar;Air Europa;2.5;0;2-01;9:30;€;;7:00;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
100;1;23-09-2017-14h-05m-11s;lun;Vueling;2.4;0;1-01;14:50;€;;12:25;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
100;1;23-09-2017-14h-05m-11s;mié;Brussels Airlines;21.2;1;3-01;9:55;€;BRU;12:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
100;1;23-09-2017-14h-05m-11s;sáb;Brussels Airlines;28.2;1;30-12;16:50;€;BRU;12:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
106;1;23-09-2017-14h-05m-11s;lun;TAP AIR PORTUGAL;18.2;1;1-01;10:55;€;LIS;16:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
116;1;23-09-2017-14h-05m-11s;dom;Air Europa;2.5;0;31-12;17:25;€;;14:55;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
116;1;23-09-2017-14h-05m-11s;sáb;Air Europa;2.5;0;30-12;10:10;€;;7:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
116;1;23-09-2017-14h-05m-11s;lun;Brussels Airlines;21.2;1;1-01;9:55;€;BRU;12:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
122;1;23-09-2017-14h-05m-11s;jue;Air Europa  - Alitalia opera el vuel;2.4;0;4-01;8:35;€;;6:10;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
122;1;23-09-2017-14h-05m-11s;mar;Air Europa;2.5;0;2-01;10:10;€;;7:40;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
122;1;23-09-2017-14h-05m-11s;sáb;Air Europa;2.5;0;30-12;9:30;€;;7:00;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
122;1;23-09-2017-14h-05m-11s;vie;Air Europa;2.5;0;29-12;9:30;€;;7:00;MAD;https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;FCO
