number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;mié;BKK;2;26-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;10:55;mar;16.1;17.8;€;724;22:45;9:40;MAD;LHR;MAD;LHR;British Airways  - Iberia opera el vuel;27-06;1;BKK;11:40
1;jue;BKK;2;25-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;12:50;lun;28.3;16;€;854;9:10;9:50;MAD;AMS;MAD;CDG;Air France / KLM;28-06;1;BKK;9:50
1;jue;BKK;2;22-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;6:00;vie;16.3;22.8;€;857;23:25;9:50;MAD;AMS;MAD;AMS;KLM;28-06;1;BKK;12:05
1;vie;BKK;2;26-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;6:30;mar;28.3;20.1;€;858;9:10;7:35;MAD;CDG;MAD;CDG;Air France;29-06;1;BKK;9:50
1;mar;BKK;2;25-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;17:20;lun;23.4;14.3;€;1098;20:30;12:40;MAD;DOH;MAD;DOH;Qatar Airways;26-06;1;BKK;2:05
1;mar;BKK;2;25-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;22:30;lun;21.7;33.2;€;1101;13:55;12:40;MAD;DOH;MAD;DOH;Qatar Airways;26-06;1;BKK;21:15
1;mié;BKK;2;26-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;6:55;mar;16.1;21.8;€;1179;22:45;9:40;MAD;LHR;MAD;LHR;British Airways  - Iberia opera el vuel;27-06;1;BKK;11:40
1;mar;BKK;2;25-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;9:55;lun;22.9;18.7;€;1282;19:00;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Helvetic Airways, Swiss Global opera el vuel;26-06;1;BKK;1:05
1;mar;BKK;2;25-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;19:40;lun;25.2;28.8;€;1434;9:15;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global, Thai Airways Intl opera el vuel;26-06;1;BKK;13:05
1;mar;BKK;2;24-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;6:20;dom;27.8;18.2;€;1748;23:20;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;26-06;1;BKK;0:30
1;mié;BKK;2;23-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;17:30;sáb;16.3;31.1;€;1758;11:50;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;27-06;1;BKK;0:30
2;mié;BKK;2;26-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;13:35;mar;27.2;15.1;€;1898;9:55;9:40;MAD;LHR;MAD;LHR, DUB;British Airways  - Aer Lingus, Iberia opera el vuel;27-06;1;BKK;11:40
2;mar;BKK;2;24-06;23-09-2017-15h-01m-07s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-06-26-flexible;6:20;dom;36.4;18.2;€;3913;7:55;5:35;MAD;BRU;MAD;BRU, YYZ;Brussels Airlines  - Thai Airways, Air Canada opera el vuel;26-06;1;BKK;0:30
