arrival_time_0;currency;arrival_airport_0;price;number_stops_0;date_0;download_date;depart_airport_0;number_destinations;duration_0;depart_time_0;day_week_0;link;stops_0;airlines
22:10;€;MAD;111;1;11-10;23-09-2017-20h-18m-48s;FCO;1;25.8;20:20;mié;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;LIS;TAP AIR PORTUGAL
0:30;€;MAD;116;1;9-10;23-09-2017-20h-18m-48s;FCO;1;7.1;17:25;lun;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;ATH;Aegean Airlines
16:40;€;MAD;117;1;11-10;23-09-2017-20h-18m-48s;FCO;1;22.8;17:50;mié;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;BRU;Brussels Airlines
0:20;€;MAD;119;1;13-10;23-09-2017-20h-18m-48s;FCO;1;7.8;16:35;vie;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;BCM;Blue Air
23:50;€;MAD;120;1;11-10;23-09-2017-20h-18m-48s;FCO;1;6.8;17:05;mié;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;LIS;TAP AIR PORTUGAL
9:10;€;MAD;120;1;13-10;23-09-2017-20h-18m-48s;FCO;1;12.8;20:20;vie;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;LIS;TAP AIR PORTUGAL  - Portugalia opera el vuel
9:10;€;MAD;120;1;11-10;23-09-2017-20h-18m-48s;FCO;1;12.8;20:20;mié;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;LIS;TAP AIR PORTUGAL  - Portugalia opera el vuel
9:10;€;MAD;120;1;12-10;23-09-2017-20h-18m-48s;FCO;1;16.1;17:05;jue;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;LIS;TAP AIR PORTUGAL
20:00;€;MAD;124;0;13-10;23-09-2017-20h-18m-48s;CIA;1;2.6;17:25;vie;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;;Ryanair
20:00;€;MAD;124;0;12-10;23-09-2017-20h-18m-48s;CIA;1;2.6;17:25;jue;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;;Ryanair
19:10;€;MAD;124;0;8-10;23-09-2017-20h-18m-48s;CIA;1;2.8;16:25;dom;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;;Ryanair
19:10;€;MAD;124;0;13-10;23-09-2017-20h-18m-48s;CIA;1;2.8;16:25;vie;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;;Ryanair
12:15;€;MAD;124;0;14-10;23-09-2017-20h-18m-48s;CIA;1;2.8;9:30;sáb;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;;Ryanair
12:15;€;MAD;124;0;13-10;23-09-2017-20h-18m-48s;CIA;1;2.8;9:30;vie;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;;Ryanair
12:15;€;MAD;124;0;12-10;23-09-2017-20h-18m-48s;CIA;1;2.8;9:30;jue;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;;Ryanair
18:10;€;MAD;127;1;11-10;23-09-2017-20h-18m-48s;FCO;1;21.8;20:20;mié;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;LIS;TAP AIR PORTUGAL
10:20;€;MAD;128;0;13-10;23-09-2017-20h-18m-48s;FCO;1;2.6;7:45;vie;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;;Iberia
21:50;€;MAD;128;0;12-10;23-09-2017-20h-18m-48s;FCO;1;2.7;19:10;jue;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;;Iberia
11:20;€;MAD;128;1;10-10;23-09-2017-20h-18m-48s;FCO;1;18.8;16:35;mar;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;BCM;Blue Air
13:10;€;MAD;129;0;11-10;23-09-2017-20h-18m-48s;FCO;1;2.7;10:30;mié;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;;Air Europa
11:10;€;MAD;129;1;11-10;23-09-2017-20h-18m-48s;FCO;1;4.2;7:00;mié;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;BCN;Vueling
13:55;€;MAD;129;1;10-10;23-09-2017-20h-18m-48s;FCO;1;6.8;7:10;mar;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;CPH;Norwegian
19:30;€;MAD;129;1;11-10;23-09-2017-20h-18m-48s;FCO;1;23.2;20:20;mié;https://www.kayak.es/flights/ROM-MAD/2017-10-11-flexible;LIS;TAP AIR PORTUGAL
