price;number_destinations;download_date;day_week_0;airlines;duration_0;number_stops_0;date_0;arrival_time_0;currency;stops_0;depart_time_0;depart_airport_0;link;arrival_airport_0
24;1;23-09-2017-14h-04m-16s;jue;Ryanair;2.6;0;16-11;12:00;€;;9:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
24;1;23-09-2017-14h-04m-16s;jue;Ryanair;2.6;0;16-11;23:25;€;;20:50;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
24;1;23-09-2017-14h-04m-16s;mié;Ryanair;2.6;0;15-11;23:25;€;;20:50;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
24;1;23-09-2017-14h-04m-16s;mié;Ryanair;2.6;0;15-11;19:10;€;;16:35;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
28;1;23-09-2017-14h-04m-16s;mié;Ryanair;2.6;0;15-11;12:00;€;;9:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
28;1;23-09-2017-14h-04m-16s;sáb;Ryanair;2.6;0;18-11;12:00;€;;9:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
30;1;23-09-2017-14h-04m-16s;mié;Ryanair;15.3;1;15-11;21:50;€;BVA;6:30;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
30;1;23-09-2017-14h-04m-16s;mié;Ryanair;16.5;1;15-11;23:59;€;MRS;7:30;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
30;1;23-09-2017-14h-04m-16s;mar;Ryanair;16.6;1;21-11;23:05;€;BVA;6:30;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
31;1;23-09-2017-14h-04m-16s;mié;Ryanair;7.4;1;15-11;18:35;€;STN;11:10;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
31;1;23-09-2017-14h-04m-16s;mar;Ryanair;7.4;1;21-11;18:35;€;STN;11:10;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
31;1;23-09-2017-14h-04m-16s;mar;Ryanair;9.5;1;21-11;23:35;€;STN;14:05;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
31;1;23-09-2017-14h-04m-16s;mié;Ryanair;9.5;1;15-11;23:35;€;STN;14:05;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
38;1;23-09-2017-14h-04m-16s;lun;Ryanair;11.8;1;20-11;18:20;€;OTP;6:30;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
40;1;23-09-2017-14h-04m-16s;lun;Ryanair;2.6;0;20-11;23:35;€;;21:00;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
40;1;23-09-2017-14h-04m-16s;mar;Ryanair;2.6;0;21-11;23:25;€;;20:50;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
40;1;23-09-2017-14h-04m-16s;sáb;Ryanair;2.6;0;18-11;19:10;€;;16:35;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
40;1;23-09-2017-14h-04m-16s;lun;Ryanair;2.6;0;20-11;19:10;€;;16:35;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
40;1;23-09-2017-14h-04m-16s;lun;Ryanair;2.6;0;20-11;12:00;€;;9:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
40;1;23-09-2017-14h-04m-16s;vie;Ryanair;2.6;0;17-11;12:00;€;;9:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
41;1;23-09-2017-14h-04m-16s;lun;Wizz Air;12;1;20-11;20:40;€;SOF;8:40;FCO;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
42;1;23-09-2017-14h-04m-16s;mar;Ryanair;17.5;1;21-11;11:50;€;CRL;18:20;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
43;1;23-09-2017-14h-04m-16s;lun;Ryanair;10.2;1;20-11;17:45;€;MRS;7:30;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
44;1;23-09-2017-14h-04m-16s;lun;Wizz Air / Ryanair;10.6;1;20-11;18:20;€;OTP;7:45;CIA;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
44;1;23-09-2017-14h-04m-16s;mar;Ryanair;15.4;2;21-11;9:10;€;CTA, BGY;17:45;FCO;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
44;1;23-09-2017-14h-04m-16s;mar;Ryanair;22.3;2;21-11;19:25;€;PMO, BLQ;21:05;FCO;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
45;1;23-09-2017-14h-04m-16s;mar;Ryanair;20.3;2;21-11;15:30;€;BCN, BHX;19:10;FCO;https://www.kayak.es/flights/ROM-MAD/2017-11-18-flexible;MAD
