price;number_destinations;download_date;day_week_0;airlines;duration_0;number_stops_0;date_0;arrival_time_0;currency;stops_0;depart_time_0;depart_airport_0;link;arrival_airport_0
41;1;23-09-2017-14h-04m-02s;mié;Ryanair;16.8;1;25-10;23:30;€;IBZ;6:40;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
43;1;23-09-2017-14h-04m-02s;jue;Ryanair;5.5;1;26-10;23:30;€;PMI;18:00;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
44;1;23-09-2017-14h-04m-02s;mié;Ryanair;17.2;2;25-10;23:45;€;BVA, BGY;6:30;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
51;1;23-09-2017-14h-04m-02s;jue;Ryanair;2.8;0;26-10;12:15;€;;9:30;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
55;1;23-09-2017-14h-04m-02s;mié;Vueling;2.8;0;25-10;0:35;€;;21:50;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
65;1;23-09-2017-14h-04m-02s;mié;Ryanair;11.5;1;25-10;23:35;€;MLA;12:05;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
68;1;23-09-2017-14h-04m-02s;lun;Ryanair;2.8;0;23-10;19:10;€;;16:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
69;1;23-09-2017-14h-04m-02s;mié;TAP AIR PORTUGAL;18.2;1;25-10;14:35;€;LIS;20:20;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
71;1;23-09-2017-14h-04m-02s;mié;TAP AIR PORTUGAL;13.2;1;25-10;19:30;€;LIS;6:15;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
72;1;23-09-2017-14h-04m-02s;mié;TAP AIR PORTUGAL;15.9;1;25-10;22:10;€;LIS;6:15;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
73;1;23-09-2017-14h-04m-02s;mié;TAP AIR PORTUGAL;21.5;1;25-10;14:35;€;LIS;17:05;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
74;1;23-09-2017-14h-04m-02s;mié;Alitalia;2.6;0;25-10;10:35;€;;8:00;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
75;1;23-09-2017-14h-04m-02s;mié;Alitalia;2.6;0;25-10;23:50;€;;21:15;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-25-flexible;MAD
