number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;mar;BKK;2;25-06;23-09-2017-14h-56m-49s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-04-flexible;9:55;lun;25.2;18.7;€;827;9:15;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global opera el vuel;3-07;1;BKK;13:05
1;mar;BKK;2;25-06;23-09-2017-14h-56m-49s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-04-flexible;9:55;lun;18.8;18.7;€;928;14:50;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;3-07;1;BKK;1:05
1;mar;BKK;2;25-06;23-09-2017-14h-56m-49s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-04-flexible;17:20;lun;16.8;14.3;€;1004;13:55;12:40;MAD;DOH;MAD;DOH;Qatar Airways;3-07;1;BKK;2:05
1;mar;BKK;2;25-06;23-09-2017-14h-56m-49s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-04-flexible;22:30;lun;33.6;33.2;€;1007;13:55;12:40;MAD;DOH;MAD;DOH;Qatar Airways;3-07;1;BKK;9:20
2;mar;BKK;2;25-06;23-09-2017-14h-56m-49s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-04-flexible;10:00;lun;29;28.8;€;1089;8:40;19:45;MAD;AUH, DEL;MAD;DEL, AUH;Jet Airways  - Etihad Airways opera el vuel;3-07;2;BKK;8:40
2;mar;BKK;2;25-06;23-09-2017-14h-56m-49s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-04-flexible;10:00;lun;27.8;28.8;€;1101;14:25;19:45;MAD;AUH, DEL;MAD;BOM, CDG;Jet Airways  - Air France, Etihad Airways opera el vuel;3-07;2;BKK;15:40
2;mar;BKK;2;25-06;23-09-2017-14h-56m-49s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-04-flexible;10:00;lun;30.2;28.8;€;1139;16:55;19:45;MAD;AUH, DEL;MAD;BOM, CDG;Jet Airways  - Air France, Etihad Airways opera el vuel;3-07;2;BKK;15:40
1;mar;BKK;2;25-06;23-09-2017-14h-56m-49s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-04-flexible;9:55;lun;25.2;14.6;€;1206;9:15;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global, Thai Airways Intl opera el vuel;3-07;1;BKK;13:05
