;date_0;download_date;arrival_time_0;depart_time_0;price;number_destinations;duration_0;currency;day_week_0;arrival_airport_0;link;stops_0;number_stops_0;airlines;depart_airport_0
10;16-11;23-09-2017-20h-18m-04s;0:10;21:45;67;1;2.4;€;jue;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;;0;Iberia  - Vueling opera el vuel;AMS
11;18-11;23-09-2017-20h-18m-04s;10:30;21:45;68;1;12.8;€;sáb;CIA;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;DUB;1;Ryanair;AMS
12;18-11;23-09-2017-20h-18m-04s;9:50;12:15;69;1;21.6;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;ATH;1;Aegean Airlines;AMS
13;18-11;23-09-2017-20h-18m-04s;16:40;12:15;69;1;28.4;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;ATH;1;Aegean Airlines;AMS
14;18-11;23-09-2017-20h-18m-04s;20:35;10:20;70;1;10.2;€;sáb;CIA;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;DUB;1;Ryanair;AMS
15;18-11;23-09-2017-20h-18m-04s;21:55;14:40;73;1;7.2;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;BCN;1;Transavia / Ryanair;AMS
16;19-11;23-09-2017-20h-18m-04s;14:55;12:35;73;1;2.3;€;dom;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;;0;easyJet;AMS
17;18-11;23-09-2017-20h-18m-04s;19:55;7:00;75;1;12.9;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;BCN;1;Transavia / Ryanair;AMS
18;18-11;23-09-2017-20h-18m-04s;21:55;7:00;75;1;14.9;€;sáb;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;BCN;1;Transavia / Ryanair;AMS
19;15-11;23-09-2017-20h-18m-04s;14:35;8:00;84;1;6.6;€;mié;FCO;https://www.kayak.es/flights/AMS-ROM/2017-11-18-flexible;MAD;1;Iberia  - Iberia Express opera el vuel;AMS
