link;download_date;price;currency;airlines;number_destinations;duration_0;stops_0;number_stops_0;date_0;depart_time_0;arrival_time_0;depart_airport_0;arrival_airport_0;day_week_0
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;20;€;Ryanair;1;2.5;;0;18-10;13:30;16:00;MAD;CIA;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;20;€;Ryanair;1;2.5;;0;18-10;20:35;23:05;MAD;CIA;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;20;€;Ryanair;1;2.5;;0;17-10;20:35;23:05;MAD;CIA;mar
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;24;€;Ryanair;1;2.5;;0;17-10;6:35;9:05;MAD;CIA;mar
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;27;€;Vueling;1;2.3;;0;18-10;18:45;21:05;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;34;€;Ryanair;1;2.5;;0;18-10;6:35;9:05;MAD;CIA;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;34;€;Ryanair;1;2.5;;0;17-10;13:30;16:00;MAD;CIA;mar
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;34;€;Ryanair;1;2.5;;0;21-10;20:35;23:05;MAD;CIA;sáb
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;40;€;Ryanair;1;2.5;;0;19-10;6:35;9:05;MAD;CIA;jue
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;41;€;Ryanair;1;12.5;NUE;1;18-10;20:05;8:35;MAD;CIA;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;48;€;Ryanair;1;2.5;;0;16-10;20:35;23:05;MAD;CIA;lun
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;48;€;Ryanair;1;2.5;;0;15-10;6:35;9:05;MAD;CIA;dom
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;49;€;Iberia;1;2.4;;0;21-10;19:40;22:05;MAD;FCO;sáb
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;50;€;Ryanair;1;9.2;PMO;1;18-10;6:55;16:05;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;50;€;Ryanair;1;11.3;PMO;1;18-10;6:55;18:15;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;50;€;Ryanair;1;14.6;PMO;1;18-10;6:55;21:30;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;54;€;TAP AIR PORTUGAL;1;5.3;LIS;1;18-10;7:30;12:50;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;54;€;TAP AIR PORTUGAL;1;8.1;LIS;1;18-10;15:25;23:30;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;54;€;TAP AIR PORTUGAL;1;11.1;LIS;1;18-10;12:25;23:30;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;54;€;TAP AIR PORTUGAL;1;11.8;LIS;1;18-10;22:50;10:40;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;54;€;TAP AIR PORTUGAL  - Portugalia opera el vuel;1;13.6;LIS;1;18-10;9:55;23:30;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;54;€;TAP AIR PORTUGAL;1;14.4;LIS;1;18-10;20:15;10:40;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;54;€;TAP AIR PORTUGAL;1;15.8;LIS;1;18-10;18:55;10:40;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;54;€;TAP AIR PORTUGAL;1;16;LIS;1;18-10;7:30;23:30;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;54;€;TAP AIR PORTUGAL;1;19.2;LIS;1;18-10;15:25;10:40;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;54;€;TAP AIR PORTUGAL;1;20.7;LIS;1;18-10;22:50;19:30;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;56;€;TAP AIR PORTUGAL;1;24.7;LIS;1;18-10;22:50;23:30;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;56;€;TAP AIR PORTUGAL  - Portugalia opera el vuel;1;24.8;LIS;1;18-10;9:55;10:40;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;61;€;Ryanair;1;15.4;CGN;1;18-10;21:05;12:30;MAD;CIA;mié
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;5.3;LIS;1;20-10;7:30;12:50;MAD;FCO;vie
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL  - Portugalia opera el vuel;1;7.1;LIS;1;16-10;12:25;19:30;MAD;FCO;lun
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;7.1;LIS;1;17-10;12:25;19:30;MAD;FCO;mar
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;7.1;LIS;1;19-10;12:25;19:30;MAD;FCO;jue
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL  - Portugalia opera el vuel;1;8.1;LIS;1;16-10;15:25;23:30;MAD;FCO;lun
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;9;LIS;1;20-10;7:30;16:30;MAD;FCO;vie
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL  - Portugalia opera el vuel;1;9.6;LIS;1;16-10;9:55;19:30;MAD;FCO;lun
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL  - Portugalia opera el vuel;1;9.6;LIS;1;19-10;9:55;19:30;MAD;FCO;jue
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;11.1;LIS;1;17-10;12:25;23:30;MAD;FCO;mar
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL  - Portugalia opera el vuel;1;11.8;LIS;1;20-10;22:50;10:40;MAD;FCO;vie
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;11.8;LIS;1;15-10;22:50;10:40;MAD;FCO;dom
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;11.8;LIS;1;17-10;22:50;10:40;MAD;FCO;mar
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;11.8;LIS;1;19-10;22:50;10:40;MAD;FCO;jue
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;12;LIS;1;19-10;7:30;19:30;MAD;FCO;jue
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;12.8;LIS;1;20-10;12:25;1:10;MAD;FCO;vie
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;14;LIS;1;17-10;22:50;12:50;MAD;FCO;mar
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;14;LIS;1;19-10;22:50;12:50;MAD;FCO;jue
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;14.4;LIS;1;15-10;20:15;10:40;MAD;FCO;dom
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;14.4;LIS;1;21-10;20:15;10:40;MAD;FCO;sáb
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;14.4;LIS;1;17-10;20:15;10:40;MAD;FCO;mar
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;15.2;LIS;1;20-10;9:55;1:10;MAD;FCO;vie
https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;23-09-2017-13h-54m-51s;63;€;TAP AIR PORTUGAL;1;15.8;LIS;1;15-10;18:55;10:40;MAD;FCO;dom
