number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;jue;BKK;2;1-06;23-09-2017-14h-59m-32s;https://www.kayak.es/flights/BKK-MAD/2018-06-04-flexible/2018-06-12-flexible;10:55;vie;16.1;17.8;€;724;22:45;9:40;MAD;LHR;MAD;LHR;British Airways  - Iberia opera el vuel;14-06;1;BKK;11:40
1;mar;BKK;2;4-06;23-09-2017-14h-59m-32s;https://www.kayak.es/flights/BKK-MAD/2018-06-04-flexible/2018-06-12-flexible;9:55;lun;25.2;18.7;€;827;9:15;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global opera el vuel;12-06;1;BKK;13:05
1;mar;BKK;2;4-06;23-09-2017-14h-59m-32s;https://www.kayak.es/flights/BKK-MAD/2018-06-04-flexible/2018-06-12-flexible;9:55;lun;18.8;18.7;€;928;14:50;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;12-06;1;BKK;1:05
1;mar;BKK;2;4-06;23-09-2017-14h-59m-32s;https://www.kayak.es/flights/BKK-MAD/2018-06-04-flexible/2018-06-12-flexible;9:55;lun;18.8;14.6;€;1029;14:50;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;12-06;1;BKK;1:05
2;jue;BKK;2;1-06;23-09-2017-14h-59m-32s;https://www.kayak.es/flights/BKK-MAD/2018-06-04-flexible/2018-06-12-flexible;13:35;vie;27.2;15.1;€;1450;9:55;9:40;MAD;LHR;MAD;LHR, DUB;British Airways  - Aer Lingus, Iberia opera el vuel;14-06;1;BKK;11:40
1;jue;BKK;2;2-06;23-09-2017-14h-59m-32s;https://www.kayak.es/flights/BKK-MAD/2018-06-04-flexible/2018-06-12-flexible;6:20;sáb;16.3;18.2;€;1596;11:50;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;14-06;1;BKK;0:30
1;lun;BKK;2;2-06;23-09-2017-14h-59m-32s;https://www.kayak.es/flights/BKK-MAD/2018-06-04-flexible/2018-06-12-flexible;12:40;sáb;16.3;35.9;€;1606;11:50;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;11-06;1;BKK;0:30
2;jue;BKK;2;2-06;23-09-2017-14h-59m-32s;https://www.kayak.es/flights/BKK-MAD/2018-06-04-flexible/2018-06-12-flexible;6:20;sáb;36.4;18.2;€;4175;7:55;5:35;MAD;BRU;MAD;BRU, YYZ;Brussels Airlines  - Thai Airways, Air Canada opera el vuel;14-06;1;BKK;0:30
