number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;mié;BKK;2;2-07;23-09-2017-14h-59m-46s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-12-flexible;9:55;lun;25.2;18.7;€;827;9:15;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global opera el vuel;11-07;1;BKK;13:05
1;mié;BKK;2;2-07;23-09-2017-14h-59m-46s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-12-flexible;9:55;lun;22.9;18.7;€;928;19:00;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;11-07;1;BKK;1:05
1;mié;BKK;2;2-07;23-09-2017-14h-59m-46s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-12-flexible;9:30;lun;21.7;22.2;€;1004;13:55;12:40;MAD;DOH;MAD;DOH;Qatar Airways;11-07;1;BKK;21:15
1;mié;BKK;2;2-07;23-09-2017-14h-59m-46s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-12-flexible;9:30;lun;33.6;16.8;€;1007;13:55;7:20;MAD;DOH;MAD;DOH;Qatar Airways;11-07;1;BKK;9:20
2;mié;BKK;2;2-07;23-09-2017-14h-59m-46s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-12-flexible;10:00;lun;29;28.8;€;1089;8:40;19:45;MAD;AUH, DEL;MAD;DEL, AUH;Jet Airways  - Etihad Airways opera el vuel;11-07;2;BKK;8:40
2;mié;BKK;2;2-07;23-09-2017-14h-59m-46s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-12-flexible;6:30;lun;29;19.3;€;1140;8:40;6:50;MAD;CDG, BOM;MAD;DEL, AUH;Jet Airways  - Etihad Airways, Air France opera el vuel;11-07;2;BKK;8:40
2;mié;BKK;2;2-07;23-09-2017-14h-59m-46s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-12-flexible;10:00;lun;25.2;28.8;€;1167;16:25;19:45;MAD;AUH, DEL;MAD;DEL, AMS;Jet Airways  - KLM, Etihad Airways opera el vuel;11-07;2;BKK;20:10
1;mié;BKK;2;2-07;23-09-2017-14h-59m-46s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-12-flexible;9:55;lun;25.2;14.6;€;1206;9:15;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global, Thai Airways Intl opera el vuel;11-07;1;BKK;13:05
