number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;mar;BKK;2;2-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;11:40;lun;16.1;17;€;831;22:45;9:40;MAD;LHR;MAD;LHR;British Airways  - Iberia opera el vuel;3-07;1;BKK;11:40
1;jue;BKK;2;4-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;23:40;mié;18.8;27.8;€;840;14:45;8:30;MAD;SVO;MAD;CAI;Egypt Air / Aeroflot;5-07;1;BKK;0:55
1;mié;BKK;2;1-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;10:00;dom;28.3;16.6;€;858;9:10;7:35;MAD;CDG;MAD;CDG;Air France;4-07;1;BKK;9:50
1;mié;BKK;2;1-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;10:00;dom;26.5;16.6;€;861;9:35;7:35;MAD;CDG;MAD;AMS;KLM / Air France;4-07;1;BKK;12:05
2;mié;BKK;2;1-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;12:05;dom;28.8;14.5;€;880;9:35;7:35;MAD;CDG;MAD;CDG, AMS;KLM / Air France  - Air France opera el vuel;4-07;1;BKK;9:50
1;jue;BKK;2;4-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;23:40;mié;30;27.8;€;880;11:00;8:30;MAD;SVO;MAD;SVO;Aeroflot;5-07;1;BKK;10:00
1;jue;BKK;2;4-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;21:50;mié;18.8;16.8;€;888;14:45;19:35;MAD;DEL;MAD;CAI;Egypt Air / Air India;5-07;1;BKK;0:55
1;jue;BKK;2;4-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;22:30;mié;16.8;15.5;€;1098;13:55;19:00;MAD;DOH;MAD;DOH;Qatar Airways;5-07;1;BKK;2:05
1;jue;BKK;2;4-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;22:30;mié;33.6;15.5;€;1101;13:55;19:00;MAD;DOH;MAD;DOH;Qatar Airways;5-07;1;BKK;9:20
1;mar;BKK;2;2-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;13:35;lun;16.1;15.1;€;1179;22:45;9:40;MAD;LHR;MAD;LHR;British Airways  - Iberia opera el vuel;3-07;1;BKK;11:40
1;jue;BKK;2;4-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;9:55;mié;18.8;18.7;€;1282;14:50;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;5-07;1;BKK;1:05
1;jue;BKK;2;4-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;19:40;mié;25.2;28.8;€;1434;9:15;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global, Thai Airways Intl opera el vuel;5-07;1;BKK;13:05
1;jue;BKK;2;1-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;6:20;dom;27.8;18.2;€;1849;23:20;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;5-07;1;BKK;0:30
1;mar;BKK;2;1-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;6:20;dom;27.8;18.2;€;1849;23:20;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;3-07;1;BKK;0:30
2;mar;BKK;2;2-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;13:35;lun;27.2;15.1;€;1898;9:55;9:40;MAD;LHR;MAD;LHR, DUB;British Airways  - Aer Lingus, Iberia opera el vuel;3-07;1;BKK;11:40
2;jue;BKK;2;1-07;23-09-2017-14h-55m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-04-flexible/2018-07-05-flexible;6:20;dom;36.4;18.2;€;4175;7:55;5:35;MAD;BRU;MAD;BRU, YYZ;Brussels Airlines  - Thai Airways, Air Canada opera el vuel;5-07;1;BKK;0:30
