link;download_date;price;currency;airlines;number_destinations;duration_0;stops_0;number_stops_0;date_0;depart_time_0;arrival_time_0;depart_airport_0;arrival_airport_0;day_week_0
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;29;€;Ryanair;1;2.5;;0;31-12;6:30;9:00;MAD;CIA;dom
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;42;€;Ryanair;1;2.5;;0;30-12;6:30;9:00;MAD;CIA;sáb
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;42;€;Ryanair;1;2.5;;0;31-12;13:40;16:10;MAD;CIA;dom
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;49;€;Iberia;1;2.5;;0;29-12;12:05;14:35;MAD;FCO;vie
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;50;€;Ryanair;1;2.5;;0;30-12;17:55;20:25;MAD;CIA;sáb
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;50;€;Ryanair;1;2.5;;0;29-12;13:40;16:10;MAD;CIA;vie
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;50;€;Ryanair;1;2.5;;0;29-12;6:30;9:00;MAD;CIA;vie
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;50;€;Ryanair;1;2.5;;0;4-01;6:30;9:00;MAD;CIA;jue
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;60;€;Ryanair;1;2.5;;0;3-01;6:30;9:00;MAD;CIA;mié
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;60;€;Ryanair;1;2.5;;0;4-01;17:55;20:25;MAD;CIA;jue
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;60;€;Ryanair;1;2.5;;0;29-12;17:55;20:25;MAD;CIA;vie
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;62;€;"TAP AIR PORTUGAL
 - Portugalia opera el vuel";1;13.8;LIS;1;2-01;21:05;10:55;MAD;FCO;mar
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;62;€;TAP AIR PORTUGAL;1;16.3;LIS;1;3-01;18:35;10:55;MAD;FCO;mié
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;63;€;TAP AIR PORTUGAL;1;5.1;LIS;1;31-12;18:35;23:40;MAD;FCO;dom
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;63;€;TAP AIR PORTUGAL;1;5.8;LIS;1;30-12;7:35;13:25;MAD;FCO;sáb
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;63;€;"TAP AIR PORTUGAL
 - Portugalia opera el vuel";1;7;LIS;1;31-12;16:40;23:40;MAD;FCO;dom
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;68;€;Brussels Airlines;1;16.2;BRU;1;1-01;6:25;22:35;MAD;FCO;lun
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;71;€;Ryanair;1;6.9;CRL;1;29-12;6:35;13:30;MAD;CIA;vie
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;72;€;Ryanair;1;2.5;;0;1-01;13:40;16:10;MAD;CIA;lun
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;72;€;Ryanair;1;2.5;;0;3-01;17:55;20:25;MAD;CIA;mié
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;72;€;Ryanair;1;2.5;;0;4-01;13:40;16:10;MAD;CIA;jue
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;72;€;Ryanair;1;2.5;;0;3-01;13:40;16:10;MAD;CIA;mié
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;73;€;Air Europa;1;2.5;;0;31-12;7:40;10:10;MAD;FCO;dom
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;73;€;Air Europa;1;2.5;;0;31-12;7:00;9:30;MAD;FCO;dom
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;73;€;Air Europa;1;2.5;;0;31-12;16:10;18:40;MAD;FCO;dom
https://www.kayak.es/flights/MAD-ROM/2018-01-01-flexible;23-09-2017-12h-07min-08s;75;€;Vueling;1;2.4;;0;31-12;12:50;15:15;MAD;FCO;dom
