number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;mié;BKK;2;2-07;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;9:55;lun;25.2;18.7;€;827;9:15;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global opera el vuel;1-08;1;BKK;13:05
1;dom;BKK;2;5-07;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;10:20;jue;16.5;22.7;€;881;20:25;14:00;MAD;HEL;MAD;HEL;Finnair;29-07;1;BKK;8:55
2;dom;BKK;2;5-07;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;10:20;jue;20.3;15.9;€;903;14:55;7:15;MAD;HEL;MAD;HEL, FRA;Finnair  - Air Nostrum For Iberia opera el vuel;29-07;1;BKK;23:35
1;dom;BKK;2;5-07;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;10:00;jue;25.8;16.2;€;906;20:25;7:15;MAD;HEL;MAD;HEL;Finnair;29-07;1;BKK;23:35
1;mié;BKK;2;2-07;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;9:55;lun;22.9;18.7;€;928;19:00;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;1-08;1;BKK;1:05
1;dom;BKK;2;3-07;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;7:20;mar;18.1;21.5;€;1005;22:55;9:50;MAD;AMS;MAD;CDG;Air France / KLM  - Air Europa opera el vuel;29-07;1;BKK;9:50
1;dom;BKK;2;1-07;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;7:20;dom;18.1;21.5;€;1005;22:55;9:50;MAD;AMS;MAD;CDG;Air France / KLM  - Air Europa opera el vuel;29-07;1;BKK;9:50
1;dom;BKK;2;5-07;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;7:20;jue;18.1;21.5;€;1005;22:55;9:50;MAD;AMS;MAD;CDG;Air France / KLM  - Air Europa opera el vuel;29-07;1;BKK;9:50
1;mié;BKK;2;2-07;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;9:55;lun;18.8;18.7;€;1282;14:50;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;1-08;1;BKK;1:05
1;mar;BKK;2;30-06;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;6:20;sáb;16.3;18.2;€;1748;11:50;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;31-07;1;BKK;0:30
1;lun;BKK;2;30-06;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;12:40;sáb;16.3;35.9;€;1758;11:50;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;30-07;1;BKK;0:30
2;mar;BKK;2;30-06;23-09-2017-14h-59m-39s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-08-01-flexible;6:20;sáb;36.4;18.2;€;4175;7:55;5:35;MAD;BRU;MAD;BRU, YYZ;Brussels Airlines  - Thai Airways, Air Canada opera el vuel;31-07;1;BKK;0:30
