price;number_destinations;download_date;day_week_0;airlines;duration_0;number_stops_0;date_0;arrival_time_0;currency;stops_0;depart_time_0;depart_airport_0;link;arrival_airport_0
20;1;23-09-2017-14h-05m-43s;mié;Ryanair;2.5;0;25-10;16:00;€;;13:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
20;1;23-09-2017-14h-05m-43s;mié;Ryanair;2.5;0;25-10;9:05;€;;6:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
20;1;23-09-2017-14h-05m-43s;mié;Ryanair;2.5;0;25-10;23:05;€;;20:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
20;1;23-09-2017-14h-05m-43s;mar;Ryanair;2.5;0;24-10;23:05;€;;20:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
20;1;23-09-2017-14h-05m-43s;mar;Ryanair;2.5;0;24-10;9:05;€;;6:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
24;1;23-09-2017-14h-05m-43s;mar;Ryanair;2.5;0;24-10;16:00;€;;13:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
24;1;23-09-2017-14h-05m-43s;jue;Ryanair;2.5;0;26-10;16:00;€;;13:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
28;1;23-09-2017-14h-05m-43s;jue;Ryanair;2.5;0;26-10;9:05;€;;6:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
31;1;23-09-2017-14h-05m-43s;mar;Ryanair;9;1;24-10;15:40;€;IBZ;6:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
32;1;23-09-2017-14h-05m-43s;mié;Vueling;2.3;0;25-10;21:05;€;;18:45;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
34;1;23-09-2017-14h-05m-43s;lun;Ryanair;2.5;0;23-10;23:05;€;;20:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
34;1;23-09-2017-14h-05m-43s;dom;Ryanair;2.5;0;22-10;9:05;€;;6:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
38;1;23-09-2017-14h-05m-43s;lun;Ryanair;12.5;1;23-10;8:35;€;NUE;20:05;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
39;1;23-09-2017-14h-05m-43s;jue;Ryanair;8.2;1;26-10;14:55;€;IBZ;6:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
39;1;23-09-2017-14h-05m-43s;jue;Ryanair;19.4;1;26-10;15:40;€;IBZ;20:15;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
40;1;23-09-2017-14h-05m-43s;sáb;Ryanair;2.5;0;28-10;23:05;€;;20:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
40;1;23-09-2017-14h-05m-43s;lun;Ryanair;2.5;0;23-10;9:05;€;;6:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
42;1;23-09-2017-14h-05m-43s;mié;Ryanair;7.8;1;25-10;21:35;€;CTA;13:45;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
42;1;23-09-2017-14h-05m-43s;mié;Ryanair;9.2;1;25-10;16:05;€;PMO;6:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
43;1;23-09-2017-14h-05m-43s;jue;Ryanair;5.8;1;26-10;22:10;€;PMI;16:20;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
44;1;23-09-2017-14h-05m-43s;mié;Ryanair;16.8;2;25-10;7:20;€;BLQ, BRI;14:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
45;1;23-09-2017-14h-05m-43s;lun;Iberia;2.4;0;23-10;14:30;€;;12:05;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
45;1;23-09-2017-14h-05m-43s;mié;Iberia;2.4;0;25-10;22:05;€;;19:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
45;1;23-09-2017-14h-05m-43s;mié;Iberia;2.4;0;25-10;14:30;€;;12:05;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
45;1;23-09-2017-14h-05m-43s;mar;Ryanair;15.7;2;24-10;8:00;€;PMI, BCN;16:20;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
45;1;23-09-2017-14h-05m-43s;mar;Ryanair;18.8;2;24-10;15:05;€;IBZ, BCN;20:15;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
46;1;23-09-2017-14h-05m-43s;sáb;Ryanair;8.2;1;28-10;14:50;€;IBZ;6:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
46;1;23-09-2017-14h-05m-43s;vie;Ryanair;9;1;27-10;15:40;€;IBZ;6:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
47;1;23-09-2017-14h-05m-43s;lun;Wizz Air / Ryanair;9.7;1;23-10;7:35;€;SOF;21:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
47;1;23-09-2017-14h-05m-43s;dom;Wizz Air / Ryanair;9.7;1;22-10;7:35;€;SOF;21:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
48;1;23-09-2017-14h-05m-43s;dom;Ryanair;2.5;0;22-10;16:00;€;;13:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
48;1;23-09-2017-14h-05m-43s;vie;Ryanair;2.5;0;27-10;9:05;€;;6:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
48;1;23-09-2017-14h-05m-43s;jue;Ryanair;2.5;0;26-10;23:05;€;;20:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
49;1;23-09-2017-14h-05m-43s;sáb;Iberia;2.4;0;28-10;22:05;€;;19:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
49;1;23-09-2017-14h-05m-43s;dom;Iberia;2.4;0;22-10;14:30;€;;12:05;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
49;1;23-09-2017-14h-05m-43s;dom;Iberia;2.4;0;22-10;22:05;€;;19:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
49;1;23-09-2017-14h-05m-43s;mar;Iberia;2.4;0;24-10;11:15;€;;8:50;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
49;1;23-09-2017-14h-05m-43s;mar;Iberia;2.4;0;24-10;22:05;€;;19:40;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
50;1;23-09-2017-14h-05m-43s;mié;Ryanair;11.3;1;25-10;18:15;€;PMO;6:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
50;1;23-09-2017-14h-05m-43s;mié;Ryanair;14.6;1;25-10;21:30;€;PMO;6:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
52;1;23-09-2017-14h-05m-43s;mié;Ryanair;12.5;1;25-10;8:35;€;NUE;20:05;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;CIA
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;5.3;1;25-10;12:50;€;LIS;7:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;7.1;1;25-10;19:30;€;LIS;12:25;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;8.1;1;25-10;23:30;€;LIS;15:25;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL  - Portugalia opera el vuel;9.6;1;25-10;19:30;€;LIS;9:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;11.1;1;25-10;23:30;€;LIS;12:25;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mar;Ryanair / Vueling;11.8;2;24-10;8:00;€;IBZ, BCN;20:15;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;11.8;1;25-10;10:40;€;LIS;22:50;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;12;1;25-10;19:30;€;LIS;7:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL  - Portugalia opera el vuel;13.6;1;25-10;23:30;€;LIS;9:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;14;1;25-10;12:50;€;LIS;22:50;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;14.4;1;25-10;10:40;€;LIS;20:15;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;15.8;1;25-10;10:40;€;LIS;18:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;16;1;25-10;23:30;€;LIS;7:30;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;16.6;1;25-10;12:50;€;LIS;20:15;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;17.9;1;25-10;12:50;€;LIS;18:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;19.2;1;25-10;10:40;€;LIS;15:25;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
54;1;23-09-2017-14h-05m-43s;mié;TAP AIR PORTUGAL;20.7;1;25-10;19:30;€;LIS;22:50;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
55;1;23-09-2017-14h-05m-43s;jue;Ryanair;7.7;1;26-10;18:15;€;PMO;10:35;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
55;1;23-09-2017-14h-05m-43s;lun;TAP AIR PORTUGAL  - Portugalia opera el vuel;8.1;1;23-10;23:30;€;LIS;15:25;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-25-flexible;FCO
