price;number_destinations;download_date;day_week_0;airlines;duration_0;number_stops_0;date_0;arrival_time_0;currency;stops_0;depart_time_0;depart_airport_0;link;arrival_airport_0
30;1;23-09-2017-14h-06m-07s;mié;Ryanair;10.5;1;18-10;19:30;€;NUE;9:00;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
31;1;23-09-2017-14h-06m-07s;mar;Ryanair;12.5;1;17-10;23:30;€;IBZ;11:00;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
31;1;23-09-2017-14h-06m-07s;mié;Ryanair;16.8;1;18-10;23:30;€;IBZ;6:40;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
39;1;23-09-2017-14h-06m-07s;jue;Ryanair;13;1;19-10;23:30;€;IBZ;10:30;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
46;1;23-09-2017-14h-06m-07s;sáb;Ryanair;5.6;1;21-10;16:05;€;IBZ;10:30;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
47;1;23-09-2017-14h-06m-07s;mié;Vueling;2.8;0;18-10;0:35;€;;21:50;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
48;1;23-09-2017-14h-06m-07s;mié;Ryanair;2.6;0;18-10;20:00;€;;17:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
53;1;23-09-2017-14h-06m-07s;mié;Ryanair / Vueling;7.5;1;18-10;14:10;€;IBZ;6:40;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
56;1;23-09-2017-14h-06m-07s;mié;Ryanair;36.8;2;18-10;22:15;€;CRL, TLS;9:30;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
57;1;23-09-2017-14h-06m-07s;mié;Ryanair;2.8;0;18-10;19:10;€;;16:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
57;1;23-09-2017-14h-06m-07s;vie;Ryanair;12.5;1;20-10;23:30;€;IBZ;11:00;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
58;1;23-09-2017-14h-06m-07s;mié;Ryanair;21.9;1;18-10;14:20;€;MRS;16:25;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
59;1;23-09-2017-14h-06m-07s;lun;Ryanair;22.9;1;16-10;9:55;€;IBZ;11:00;FCO;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
59;1;23-09-2017-14h-06m-07s;sáb;Ryanair;26.2;1;21-10;10:10;€;SOF;8:00;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
60;1;23-09-2017-14h-06m-07s;mar;Ryanair;22.5;2;17-10;8:00;€;CRL, PMI;9:30;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
61;1;23-09-2017-14h-06m-07s;mar;Ryanair;24;3;17-10;8:00;€;SOF, BHX, PMI;8:00;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
65;1;23-09-2017-14h-06m-07s;sáb;Ryanair;2.8;0;21-10;12:15;€;;9:30;CIA;https://www.kayak.es/flights/ROM-MAD/2017-10-18-flexible;MAD
