number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;mié;BKK;2;17-07;23-09-2017-14h-58m-06s;https://www.kayak.es/flights/BKK-MAD/2018-07-18-flexible/2018-07-19-flexible;11:40;mar;16.1;17;€;888;22:45;9:40;MAD;LHR;MAD;LHR;British Airways  - Iberia opera el vuel;18-07;1;BKK;11:40
1;mié;BKK;2;17-07;23-09-2017-14h-58m-06s;https://www.kayak.es/flights/BKK-MAD/2018-07-18-flexible/2018-07-19-flexible;6:55;mar;16.1;21.8;€;1179;22:45;9:40;MAD;LHR;MAD;LHR;British Airways  - Iberia opera el vuel;18-07;1;BKK;11:40
1;jue;BKK;2;18-07;23-09-2017-14h-58m-06s;https://www.kayak.es/flights/BKK-MAD/2018-07-18-flexible/2018-07-19-flexible;9:55;mié;18.8;18.7;€;1282;14:50;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;19-07;1;BKK;1:05
1;jue;BKK;2;18-07;23-09-2017-14h-58m-06s;https://www.kayak.es/flights/BKK-MAD/2018-07-18-flexible/2018-07-19-flexible;19:40;mié;25.2;28.8;€;1434;9:15;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global, Thai Airways Intl opera el vuel;19-07;1;BKK;13:05
1;mar;BKK;2;15-07;23-09-2017-14h-58m-06s;https://www.kayak.es/flights/BKK-MAD/2018-07-18-flexible/2018-07-19-flexible;6:20;dom;27.8;18.2;€;1849;23:20;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;17-07;1;BKK;0:30
2;mié;BKK;2;17-07;23-09-2017-14h-58m-06s;https://www.kayak.es/flights/BKK-MAD/2018-07-18-flexible/2018-07-19-flexible;13:35;mar;27.2;15.1;€;1898;9:55;9:40;MAD;LHR;MAD;LHR, DUB;British Airways  - Aer Lingus, Iberia opera el vuel;18-07;1;BKK;11:40
1;mar;BKK;2;15-07;23-09-2017-14h-58m-06s;https://www.kayak.es/flights/BKK-MAD/2018-07-18-flexible/2018-07-19-flexible;6:20;dom;16.3;18.2;€;1950;11:50;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;17-07;1;BKK;0:30
2;mar;BKK;2;15-07;23-09-2017-14h-58m-06s;https://www.kayak.es/flights/BKK-MAD/2018-07-18-flexible/2018-07-19-flexible;6:20;dom;36.4;18.2;€;3913;7:55;5:35;MAD;BRU;MAD;BRU, YYZ;Brussels Airlines  - Thai Airways, Air Canada opera el vuel;17-07;1;BKK;0:30
