number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;mié;BKK;2;25-06;23-09-2017-14h-56m-35s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-11-flexible;8:00;lun;19.2;17.9;€;739;23:20;6:55;MAD;OSL;MAD;ARN;Norwegian;11-07;1;BKK;9:10
1;mié;BKK;2;25-06;23-09-2017-14h-56m-35s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-11-flexible;9:55;lun;25.2;18.7;€;827;9:15;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global opera el vuel;11-07;1;BKK;13:05
1;mié;BKK;2;25-06;23-09-2017-14h-56m-35s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-11-flexible;9:55;lun;22.9;18.7;€;928;19:00;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Helvetic Airways, Swiss Global opera el vuel;11-07;1;BKK;1:05
1;mié;BKK;2;25-06;23-09-2017-14h-56m-35s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-11-flexible;19:40;lun;25.2;28.8;€;1206;9:15;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global, Thai Airways Intl opera el vuel;11-07;1;BKK;13:05
1;mié;BKK;2;24-06;23-09-2017-14h-56m-35s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-11-flexible;12:40;dom;16.3;35.9;€;1758;11:50;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;11-07;1;BKK;0:30
1;lun;BKK;2;24-06;23-09-2017-14h-56m-35s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-11-flexible;12:40;dom;16.3;35.9;€;1758;11:50;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;9-07;1;BKK;0:30
1;vie;BKK;2;24-06;23-09-2017-14h-56m-35s;https://www.kayak.es/flights/BKK-MAD/2018-06-25-flexible/2018-07-11-flexible;17:30;dom;24.9;31.1;€;1986;20:25;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;13-07;1;BKK;0:30
