number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;jue;BKK;2;4-07;23-09-2017-14h-57m-36s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-04-flexible;18:20;mié;28.2;34.3;€;687;10:50;9:40;MAD;LHR;MAD;LHR;British Airways;5-07;1;BKK;11:40
1;jue;BKK;2;4-07;23-09-2017-14h-57m-36s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-04-flexible;18:20;mié;30;34.3;€;689;12:40;9:40;MAD;LHR;MAD;LHR;British Airways;5-07;1;BKK;11:40
1;mié;BKK;2;2-07;23-09-2017-14h-57m-36s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-04-flexible;8:00;lun;19.2;17.9;€;748;23:20;6:55;MAD;OSL;MAD;ARN;Norwegian;4-07;1;BKK;9:10
1;jue;BKK;2;4-07;23-09-2017-14h-57m-36s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-04-flexible;12:00;mié;18.8;15.5;€;814;14:45;8:30;MAD;SVO;MAD;CAI;Egypt Air / Aeroflot;5-07;1;BKK;0:55
1;jue;BKK;2;4-07;23-09-2017-14h-57m-36s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-04-flexible;12:00;mié;20.2;15.5;€;827;15:45;8:30;MAD;SVO;MAD;AMM;Royal Jordanian / Aeroflot;5-07;1;BKK;0:30
1;jue;BKK;2;4-07;23-09-2017-14h-57m-36s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-04-flexible;17:20;mié;16.8;14.3;€;1098;13:55;12:40;MAD;DOH;MAD;DOH;Qatar Airways;5-07;1;BKK;2:05
1;jue;BKK;2;4-07;23-09-2017-14h-57m-36s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-04-flexible;22:30;mié;28.2;33.2;€;1101;20:30;12:40;MAD;DOH;MAD;DOH;Qatar Airways;5-07;1;BKK;21:15
1;jue;BKK;2;4-07;23-09-2017-14h-57m-36s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-04-flexible;9:55;mié;22.9;18.7;€;1282;19:00;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;5-07;1;BKK;1:05
1;jue;BKK;2;4-07;23-09-2017-14h-57m-36s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-04-flexible;9:55;mié;18.8;14.6;€;1434;14:50;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;5-07;1;BKK;1:05
