number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;mié;BKK;2;19-06;23-09-2017-15h-01m-00s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-06-19-flexible;6:55;mar;16.1;21.8;€;724;22:45;9:40;MAD;LHR;MAD;LHR;British Airways  - Iberia opera el vuel;20-06;1;BKK;11:40
1;mié;BKK;2;19-06;23-09-2017-15h-01m-00s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-06-19-flexible;8:25;mar;16.1;20.2;€;762;22:45;9:40;MAD;LHR;MAD;LHR;British Airways  - Iberia opera el vuel;20-06;1;BKK;11:40
1;mar;BKK;2;18-06;23-09-2017-15h-01m-00s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-06-19-flexible;9:55;lun;18.8;14.6;€;1282;14:50;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;19-06;1;BKK;1:05
2;mié;BKK;2;19-06;23-09-2017-15h-01m-00s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-06-19-flexible;13:35;mar;27.2;15.1;€;1442;9:55;9:40;MAD;LHR;MAD;LHR, DUB;British Airways  - Aer Lingus, Iberia opera el vuel;20-06;1;BKK;11:40
1;jue;BKK;2;17-06;23-09-2017-15h-01m-00s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-06-19-flexible;6:20;dom;27.8;18.2;€;1596;23:20;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;21-06;1;BKK;0:30
1;mié;BKK;2;19-06;23-09-2017-15h-01m-00s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-06-19-flexible;12:40;mar;16.3;35.9;€;1606;11:50;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;20-06;1;BKK;0:30
2;jue;BKK;2;17-06;23-09-2017-15h-01m-00s;https://www.kayak.es/flights/BKK-MAD/2018-06-18-flexible/2018-06-19-flexible;6:20;dom;36.4;18.2;€;4175;7:55;5:35;MAD;BRU;MAD;BRU, YYZ;Brussels Airlines  - Thai Airways, Air Canada opera el vuel;21-06;1;BKK;0:30
