number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;jue;BKK;2;4-07;23-09-2017-14h-56m-20s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-18-flexible;9:55;mié;25.2;18.7;€;827;9:15;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global opera el vuel;19-07;1;BKK;13:05
1;jue;BKK;2;4-07;23-09-2017-14h-56m-20s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-18-flexible;9:55;mié;18.8;18.7;€;928;14:50;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;19-07;1;BKK;1:05
1;jue;BKK;2;4-07;23-09-2017-14h-56m-20s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-18-flexible;17:20;mié;22.5;20.7;€;1004;13:55;19:00;MAD;DOH;MAD;DOH;Qatar Airways;19-07;1;BKK;20:25
1;jue;BKK;2;4-07;23-09-2017-14h-56m-20s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-18-flexible;22:30;mié;33.6;33.2;€;1007;13:55;12:40;MAD;DOH;MAD;DOH;Qatar Airways;19-07;1;BKK;9:20
2;jue;BKK;2;4-07;23-09-2017-14h-56m-20s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-18-flexible;10:00;mié;29;28.8;€;1089;8:40;19:45;MAD;AUH, DEL;MAD;DEL, AUH;Jet Airways  - Etihad Airways opera el vuel;19-07;2;BKK;8:40
2;jue;BKK;2;4-07;23-09-2017-14h-56m-20s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-18-flexible;6:30;mié;29;26.7;€;1102;8:40;14:10;MAD;CDG, BOM;MAD;DEL, AUH;Jet Airways  - Etihad Airways, Air France opera el vuel;19-07;2;BKK;8:40
2;jue;BKK;2;4-07;23-09-2017-14h-56m-20s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-18-flexible;15:20;mié;29;34.5;€;1140;8:40;6:50;MAD;CDG, BOM;MAD;DEL, AUH;Jet Airways  - Etihad Airways, Air France opera el vuel;19-07;2;BKK;8:40
1;jue;BKK;2;4-07;23-09-2017-14h-56m-20s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-18-flexible;19:40;mié;25.2;28.8;€;1206;9:15;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global, Thai Airways Intl opera el vuel;19-07;1;BKK;13:05
