number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;mié;BKK;2;2-07;23-09-2017-14h-57m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-11-flexible;8:00;lun;19.2;17.9;€;760;23:20;6:55;MAD;OSL;MAD;ARN;Norwegian;11-07;1;BKK;9:10
1;mié;BKK;2;2-07;23-09-2017-14h-57m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-11-flexible;9:55;lun;25.2;18.7;€;827;9:15;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global opera el vuel;11-07;1;BKK;13:05
1;mié;BKK;2;2-07;23-09-2017-14h-57m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-11-flexible;9:55;lun;22.9;18.7;€;928;19:00;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;11-07;1;BKK;1:05
1;dom;BKK;2;3-07;23-09-2017-14h-57m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-11-flexible;6:00;mar;18.1;22.8;€;941;22:55;9:50;MAD;AMS;MAD;CDG;Air France / KLM;8-07;1;BKK;9:50
1;dom;BKK;2;3-07;23-09-2017-14h-57m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-11-flexible;7:20;mar;18.1;21.5;€;973;22:55;9:50;MAD;AMS;MAD;CDG;Air France / KLM  - Air Europa opera el vuel;8-07;1;BKK;9:50
1;dom;BKK;2;3-07;23-09-2017-14h-57m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-11-flexible;12:50;mar;18.1;16;€;1005;22:55;9:50;MAD;AMS;MAD;CDG;Air France / KLM;8-07;1;BKK;9:50
1;dom;BKK;2;3-07;23-09-2017-14h-57m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-11-flexible;10:00;mar;17.1;16.2;€;1024;8:40;7:10;MAD;AUH;MAD;AUH;Air Europa  - Etihad Airways opera el vuel;8-07;1;BKK;20:35
1;dom;BKK;2;3-07;23-09-2017-14h-57m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-11-flexible;15:00;mar;17.1;22.4;€;1029;8:40;18:25;MAD;AMS, AUH;MAD;AUH;Air Europa  - Etihad Airways opera el vuel;8-07;2;BKK;20:35
1;dom;BKK;2;3-07;23-09-2017-14h-57m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-11-flexible;12:35;mar;16.3;22;€;1148;11:40;15:35;MAD;AMM;MAD;AMM;Royal Jordanian;8-07;1;BKK;0:20
1;mié;BKK;2;2-07;23-09-2017-14h-57m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-11-flexible;19:40;lun;25.2;28.8;€;1206;9:15;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global, Thai Airways Intl opera el vuel;11-07;1;BKK;13:05
2;dom;BKK;2;3-07;23-09-2017-14h-57m-17s;https://www.kayak.es/flights/BKK-MAD/2018-07-02-flexible/2018-07-11-flexible;7:10;mar;20.6;23.2;€;1668;11:10;11:20;MAD;FRA, HAN;MAD;SGN, CDG;Vietnam Airlines  - Air France, Air Europa opera el vuel;8-07;2;BKK;19:35
