price;number_destinations;download_date;day_week_0;airlines;duration_0;number_stops_0;date_0;arrival_time_0;currency;stops_0;depart_time_0;depart_airport_0;link;arrival_airport_0
122;1;23-09-2017-14h-06m-45s;sáb;Norwegian;9;1;21-10;16:15;€;ARN;7:15;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;FCO
187;1;23-09-2017-14h-06m-45s;mié;Norwegian / Vueling;16.3;1;18-10;0:20;€;LGW;8:00;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;FCO
197;1;23-09-2017-14h-06m-45s;mié;Norwegian / Vueling;10.7;1;18-10;18:40;€;LGW;8:00;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;FCO
205;1;23-09-2017-14h-06m-45s;mié;Norwegian / easyJet;13.2;1;18-10;21:10;€;LGW;8:00;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;FCO
212;1;23-09-2017-14h-06m-45s;mié;SWISS  - Helvetic Airways opera el vuel;9.3;1;18-10;19:15;€;ZRH;9:55;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;FCO
299;1;23-09-2017-14h-06m-45s;dom;Norwegian;13.2;1;15-10;21:10;€;OSL;8:00;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;FCO
430;1;23-09-2017-14h-06m-45s;sáb;Norwegian;8.2;1;21-10;23:05;€;CPH;14:50;MAD;https://www.kayak.es/flights/MAD-ROM/2017-10-18-flexible;FCO
