price;number_destinations;download_date;day_week_0;airlines;duration_0;number_stops_0;date_0;arrival_time_0;currency;stops_0;depart_time_0;depart_airport_0;link;arrival_airport_0
22;1;23-09-2017-14h-05m-59s;mié;Ryanair;2.6;0;20-12;23:25;€;;20:50;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
22;1;23-09-2017-14h-05m-59s;mar;Ryanair;2.6;0;19-12;12:00;€;;9:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
22;1;23-09-2017-14h-05m-59s;mar;Ryanair;2.6;0;19-12;19:10;€;;16:35;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
22;1;23-09-2017-14h-05m-59s;sáb;Ryanair;2.6;0;16-12;23:25;€;;20:50;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
22;1;23-09-2017-14h-05m-59s;sáb;Ryanair;2.6;0;16-12;19:10;€;;16:35;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
22;1;23-09-2017-14h-05m-59s;vie;Ryanair;2.6;0;15-12;23:25;€;;20:50;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
22;1;23-09-2017-14h-05m-59s;sáb;Ryanair;2.6;0;16-12;12:00;€;;9:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
22;1;23-09-2017-14h-05m-59s;vie;Ryanair;2.6;0;15-12;19:10;€;;16:35;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
24;1;23-09-2017-14h-05m-59s;vie;Ryanair;2.6;0;15-12;12:00;€;;9:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
28;1;23-09-2017-14h-05m-59s;dom;Ryanair;2.6;0;17-12;12:00;€;;9:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
29;1;23-09-2017-14h-05m-59s;mié;Ryanair;2.6;0;20-12;12:00;€;;9:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
29;1;23-09-2017-14h-05m-59s;mié;Ryanair;2.6;0;20-12;19:10;€;;16:35;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
29;1;23-09-2017-14h-05m-59s;lun;Ryanair;2.6;0;18-12;12:00;€;;9:25;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
29;1;23-09-2017-14h-05m-59s;mar;Ryanair;2.6;0;19-12;23:25;€;;20:50;CIA;https://www.kayak.es/flights/ROM-MAD/2017-12-18-flexible;MAD
