number_stops_0;day_week_1;depart_airport_0;number_destinations;date_0;download_date;link;depart_time_1;day_week_0;duration_0;duration_1;currency;price;arrival_time_0;arrival_time_1;arrival_airport_0;stops_1;depart_airport_1;stops_0;airlines;date_1;number_stops_1;arrival_airport_1;depart_time_0
1;jue;BKK;2;25-07;23-09-2017-14h-57m-10s;https://www.kayak.es/flights/BKK-MAD/2018-07-25-flexible/2018-08-02-flexible;9:55;mié;25.2;18.7;€;827;9:15;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Swiss Global opera el vuel;2-08;1;BKK;13:05
1;mié;BKK;2;24-07;23-09-2017-14h-57m-10s;https://www.kayak.es/flights/BKK-MAD/2018-07-25-flexible/2018-08-02-flexible;11:40;mar;16.1;17;€;996;22:45;9:40;MAD;LHR;MAD;LHR;British Airways  - Iberia opera el vuel;1-08;1;BKK;11:40
1;jue;BKK;2;25-07;23-09-2017-14h-57m-10s;https://www.kayak.es/flights/BKK-MAD/2018-07-25-flexible/2018-08-02-flexible;9:55;mié;18.8;18.7;€;1206;14:50;9:35;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;2-08;1;BKK;1:05
1;mié;BKK;2;24-07;23-09-2017-14h-57m-10s;https://www.kayak.es/flights/BKK-MAD/2018-07-25-flexible/2018-08-02-flexible;8:25;mar;16.1;20.2;€;1287;22:45;9:40;MAD;LHR;MAD;LHR;British Airways  - Iberia opera el vuel;1-08;1;BKK;11:40
1;jue;BKK;2;25-07;23-09-2017-14h-57m-10s;https://www.kayak.es/flights/BKK-MAD/2018-07-25-flexible/2018-08-02-flexible;9:55;mié;18.8;14.6;€;1586;14:50;5:30;MAD;ZRH;MAD;ZRH;SWISS  - Thai Airways Intl, Swiss Global opera el vuel;2-08;1;BKK;1:05
2;mié;BKK;2;24-07;23-09-2017-14h-57m-10s;https://www.kayak.es/flights/BKK-MAD/2018-07-25-flexible/2018-08-02-flexible;10:55;mar;27.2;17.8;€;1614;9:55;9:40;MAD;LHR;MAD;LHR, DUB;British Airways  - Aer Lingus opera el vuel;1-08;1;BKK;11:40
1;lun;BKK;2;24-07;23-09-2017-14h-57m-10s;https://www.kayak.es/flights/BKK-MAD/2018-07-25-flexible/2018-08-02-flexible;17:30;mar;27.8;31.1;€;1859;23:20;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;30-07;1;BKK;0:30
1;mié;BKK;2;22-07;23-09-2017-14h-57m-10s;https://www.kayak.es/flights/BKK-MAD/2018-07-25-flexible/2018-08-02-flexible;17:30;dom;27.8;31.1;€;1859;23:20;5:35;MAD;BRU;MAD;BRU;Brussels Airlines  - Thai Airways opera el vuel;1-08;1;BKK;0:30
2;mié;BKK;2;22-07;23-09-2017-14h-57m-10s;https://www.kayak.es/flights/BKK-MAD/2018-07-25-flexible/2018-08-02-flexible;17:30;dom;36.4;31.1;€;4185;7:55;5:35;MAD;BRU;MAD;BRU, YYZ;Brussels Airlines  - Thai Airways, Air Canada opera el vuel;1-08;1;BKK;0:30
